title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Chār Bāb,KBO0000110467,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,چار باب,,10467,‘Abd al-‘Azīz bin Shāh Walī Allāh Shāh Dihlawī,,Persian,Nastaliq,,,,,,,,,,HL.2285,,Complete,40,,,,,,Plant Products -> Paper / कागज,,Jurisprudence,,,26/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1242 AH,,
Al-Jawāhirul-Mukallālah,KBO0000110469,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,الجواہر المکلالہ,,10469,Muḥammad bin Aḥmad al-‘Awfī,,Arabic,Naskh,,,,,,,,,,HL 111,,Complete,101,202,,,,,Plant Products -> Paper / कागज,,,,,22/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1200 AH,,
‘Aqīlat al-Daman al-Muḵẖtaṣar min Anbiyā’ al-Zaman fī Aḵẖbār al-Yaman,KBO0000110473,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,عقلیت الدمن المختصر من انبیاء الزمن فی اخبار الیمن,,10473,Yaḥyā bin al-Ḥusain bin al-Mu’ayyad billāh Muḥammad bin al-Qāsim bin Muḥammad bin,Maqbal bin ‘Abdah bin ‘Ali bin ‘Abd Allāh,Arabic,Naskh,,,,,,,,,,HL 2315,,Complete,138,,,,,,Plant Products -> Paper / कागज,,,,,27/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1785 AD,,
Al-Kāfī,KBO0000110468,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,الکافی,,10468,Muḥammad b. Ya‘ qūb b. Isḥāq al-Kulimī,Muḥammad b. al-Ḥasan al-Kashmīrī,Arabic,Naskh,,,,,,,,,,HL 574,,Complete,316,,,,,,Plant Products -> Paper / कागज,,,,,15/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1109 AH,,
Tabṣīr al-Muntabih bi Taḥrīr al-Mushtabih,KBO0000110470,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,تبصیر المنتبۃ بتحریر المشتبۃ,,10470,"Ibn Ḥajar al-‘Asqalānī, Shihāb al-Dīn",,Arabic,Naskh,,,,,,,,,,HL 2412,,Complete,256,,,,,,Plant Products -> Paper / कागज,,,,,27/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1437 AD,,
Qiṣṣah-i-pur Aṯẖar Dafa‘  Dard-i-Nimsār,KBO0000110474,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,قصہ پر اثر دفہ درد نمسار,,10474,Syyid Amjad Ḥusain bin Irshād Ḥusain,Irshād Ḥusain,Urdu,Nastaliq,,,,,,,,,,279,,Complete,6,,,,,,Plant Products -> Paper / कागज,,,,,20/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1303 AH,,
Minhāj al-Dukkān,KBO0000110475,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,منہاج الدکان,,10475,Abū al-Mana bin Naṣir bin Ḥuffāẓ bin ‘Aṭṭār ?,,Arabic,Naskh,,,,,,,,,,HL.2525/2,,Complete,105,,,,,,Plant Products -> Paper / कागज,,,,,29/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1235 AH,,
"Ḥikmat-i-Ṭibbiyah (Vol.I, II, III)",KBO0000110472,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,حیکمت طبیہ،جلدیں1-3,,10472,Kamālud-Dīn Ḥaidar Muḥammad Mīr Ḥasanī al-Ḥusainī,,Urdu,Nastaliq,,,,,,,,,,HL.374-376,,Complete,195,,,,,,Plant Products -> Paper / कागज,,,,,21/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1300 AH,,
Al-Mustaṭraf fī Kull-i Fann-i Mustaẓraf,KBO0000110476,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,المستطرف فی کل فن مستظرف,,10476,Shahāb al-Dīn Aḥmad,,Arabic,Naskh,,,,,,,,,,HL.1835,,Complete,433,,,,,,Plant Products -> Paper / कागज,,,,,14/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1077 AH,,
Al-Miṣbāḥ Sharḥ al-Miftāḥ,KBO0000110477,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,المصباح شرح المفتاح,,10477,,‘Alī bin Aḥmad bin Manṣūr al-Shāfi‘ ī,Arabic,Naskh,on Miftāḥ al-‘ Ulūm,‘Alī bin Muḥd. ‘Alī (known as Sayyid Sharīf al-Jurjānī,,,,,,,,HL.1657,,Complete,258,,,,,,Plant Products -> Paper / कागज,,,,,28/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 896 AH,,
Sharḥ-i Qaṭr al-Nadā wa Ball al-Ṣadā,KBO0000110471,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح قطرالندی وبل الصدی,,10471,,,Arabic,Nastaliq,,,,,,,,,,HL.1567,,Complete,68,,,,,,Plant Products -> Paper / कागज,,,,,25/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1200 AH,,
Dawā’ir al-Nafs min al-Naks,KBO0000110482,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,دوائرالنفس من النکس,,10482,Shaiḵẖ Jamāl al-Dīn al-Maḵẖzamī,,Arabic,Naskh,,,,,,,,,,HL.2524/4,,Complete,62,,,,,,Plant Products -> Paper / कागज,,,,,29/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 886 AH,,
Al-Kāfiyah al-Shāfiyah fī Intiṣār al-Firqah al-Nājiyah,KBO0000110478,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,الکافیۃ الشافیۃ انتصار الفرقۃ الناجیۃ,,10478,Abū ‘Abd Allāh Muḥd. bin Abī Bakr bin Ayyūb al-Qaiyyimī,,Arabic,Naskh,,,,,,,,,,HL.1246,,Complete,149,,,,,,Plant Products -> Paper / कागज,,,,,27/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1190 AH,,
Rāh-i-Nijāt,KBO0000110479,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,راہ نجات,,10479,Shāh Rafī’ ud-Dīn Dihlawī,,Urdu,Nastaliq,,,,,,,,,,4505/2,,Complete,24,,,,,,Plant Products -> Paper / कागज,,,,,21/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1300 AH,,
Sharḥ al-Aflāk,KBO0000110480,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح الافلاک,,10480,Maulānā ‘ Iṣmat Allāh,,Arabic,Shikasta,,,,,,,,,,HL.3272,,Complete,255,,,,,,Plant Products -> Paper / कागज,,,,,13/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1000 AH,,
Al-Ṣiḥāḥ,KBO0000110481,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,الصحاح,,10481,"Al-Jauharī, Abū Naṣr Ismā‘ īl bin Ḥammād",,Arabic,Naskh,,,,,,,,,,HL.1696 A+B,,Complete,575,,,,,,Plant Products -> Paper / कागज,,,,,25/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1015 AH,,
Anwārut-Tanzīl wa Asrārut-Tāwīl,KBO0000110483,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,انوار التنزیل و اسرار التاویل,,10483,,Naṣir al-Lāhōrī and Md. Zarīf,Arabic,Naskh,on Qurān,Qāḏẖī Naṣirud-Dīn Abū Sa’ īd al-Baiḏẖāwī ?,,,,,,,,HL.206-7,,Complete,517,,,,,,Plant Products -> Paper / कागज,,,,,22/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1111 AH,,
Sharḥ-i Du‘ ā al-Samāt,KBO0000110488,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح دعاء السمات,,10488,Muḥammad ‘Alī bin Aḥmad bin ‘Alī al-Shāmī al-‘Āmilī,,Arabic,Naskh,,,,,,,,,,HL.1467,,Complete,65,,,,,,Plant Products -> Paper / कागज,,,,,23/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1200 AH,,
Asnā al-Maṭālib fī Ṣilah al-Aqārib,KBO0000110484,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,اسنی المطالب فی صلۃ الاقارب,,10484,Shahāb al-Dīn Aḥmad bin Muḥd. bin Ja‘ far al-Haiṯẖamī,,Arabic,Nastaliq,,,,,,,,,,HL.1398,,Complete,218,,,,,,Plant Products -> Paper / कागज,,,,,27/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1138 AH,,
Munājāt,KBO0000110487,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,مناجات,,10487,Ḥaḍrat ‘Alī,Abū al-Baqā Mūsawī,Arabic,Nastaliq,,,,,,,,,,HL.1822,,Complete,9,,,,,,Plant Products -> Paper / कागज,,,,,14/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 900 AH,,
Sharḥ Mughnī al-Labīb,KBO0000110489,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح مغنی اللبیب,,10489,,,Arabic,Naskh,on Mughnī al-Labīb,Mullā ‘Alī bin Sattār Muḥd. al-Qārī al-Harawī,,,,,,,,HL.1580 A+B,,Complete,715,,,,,,Plant Products -> Paper / कागज,,,,,27/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1200 AH,,
‘ Ināyat Nāmah,KBO0000110486,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,عنایت نامہ,,10486,"Rāsiḵẖ, ‘ Ināyat Ḵẖān bin Luṭf Allāh Ḵẖān Ṣādiq",,Persian,Nastaliq,,,,,,,,,,HL.1930,,Complete,52,,,,,,Plant Products -> Paper / कागज,,Diwan,,,25/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1900 AD,,
Ḵẖulāṣatul-Fiqh (Kashful-Ḵẖulāṣah),KBO0000110485,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,خلاصۃ الفقہ: کشف الخلاصہ,,10485,Ḥafiz Shujā’ ud-Dīn Ḥyderābādī,Ḵẖurshīd,Urdu,Nastaliq,,,,,,,,,,73,,Complete,16,,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Fiqh,,,18/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1270 AH,,
Tafsīr-i-Murtaḏẖāwī (Sūrah al-Qaṣaṣ),KBO0000110491,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,تفسیر مرتضوی، سورہ القصص,,10491,Shāh Ghulām Murtaḏẖā Junun ?,,Urdu,Nastaliq,,,,,,,,,,3131,,Incomplete,35,,,,,,Plant Products -> Paper / कागज,,Tafsīr,,,21/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1300 AH,,
Maṯẖnawiyāt-i Faqīr,KBO0000110493,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,مثنویات فقیر,,10493,"Faqīr, Munshī Muḥammad Faqīr Ḥusain",,Urdu,Nastaliq,,,,,,,,,,5072,,Complete,96,,,,,,Plant Products -> Paper / कागज,,Masnavi,,,26/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1400 AD,,
Sharḥ al-Alfiyah,KBO0000110492,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح الالفیۃ,,10492,Badr al-Dīn Abū ‘Abd Allāh Muḥammad bin Jamāl al-Dīn,Mullā Yūnus,Arabic,Naskh,,,,,,,,,,HL.1559,,Complete,138,,,,,,Plant Products -> Paper / कागज,,,,,23/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1099 AH,,
Majmū‘ ah-i Ḵẖwānī,KBO0000110494,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,مجموعہ خوانی,,10494,Kamāl Karīm,,Persian,,,,,,,,,,,HL.2061,,Complete,178,,,,,,Plant Products -> Paper / कागज,,,,,25/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1897 Sanb,,
Qiṣṣah al-Jāriyah wa Qiṣaṣ Uḵẖrā,KBO0000110496,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,قصۃ الجاریۃ و قصص اخری,,10496,Not known,,Arabic,Naskh,,,,,,,,,,HL 2537/9,,Complete,6,,,,,,Plant Products -> Paper / कागज,,,,,28/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1300 AH,,
Dīwān-i-Saudā,KBO0000110490,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,دیوان سودا,,10490,Mirzā Muḥammad Rafī‘  Saudā,Muḥammad Amīn Baig,Urdu,Nastaliq,,,,,,,,,,70,,Complete,336,,,,,,Plant Products -> Paper / कागज,,Diwan,,,18/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1229 AH,,
Kulliyāt-i-Saudā,KBO0000110498,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,کلیات سودا,,10498,Mirzā Muḥammad Rafī‘  Saudā,,Urdu,Nastaliq,,,,,,,,,,4508,,Incomplete,136,,,,,,Plant Products -> Paper / कागज,,Diwan,,,21/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1300 AH,,
Kitāb-i-Taqwīm,KBO0000110497,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,کتاب تقویم,,10497,,,Urdu,Nastaliq,,,,,,,,,,2298,,Complete,34,,,,,,Plant Products -> Paper / कागज,,,,,21/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1400 AH,,
Sharḥ al-Jumal,KBO0000110499,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح الجمل,,10499,,,Arabic,Naskh,,,,,,,,,,HL.1562,,Complete,206,,,,,,Plant Products -> Paper / कागज,,,,,23/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 575 AH,,
Sharḥ ash-Shatibiyah,KBO0000110495,"Khuda Baksh Oriental Public Library, Patna",Khuda Bakhsh O.P.Library,شرح الشاتیبیاہ,,10495,,‘Abdal-Qadir b. ‘Abdan-Nūr b. Aḥmad b. ‘ Umar al-Yazidī ?,Arabic,Naskh,on ash-Shatibiyah,‘Alamad-Dīn Abul-Ḥasan ‘Alī b. Muḥammad b. ‘Abdaṣ-Ṣamad al-Hamadānī as-Saḵẖāwī,,,,,,,,HL.141,,Complete,139,,,,,,Plant Products -> Paper / कागज,,,,,22/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 929 AH,,
