title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Smṛtigrantha,API005601918,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",K.S. Lahiri,,,1918,,,Sanskrit,Telugu,,,,,,,,,1,1904,,Complete,50,100,,30,4,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,09/12/2014,,,No,,,,,No,No,,,,,,,manus_dt:,,
Divyaprabandhaṁ,APO000131941,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",Andhra Viswa Kala Parishad,,,1941,,,Tamil,Tamil,,,,,,,,,1971,1,,Incomplete,67,134,,41.5,4,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,16/11/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rugvedamu Pradha Mastkakam,APO000041928,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",apoml hyd,,,1928,,,,,,,,,,,Sanskrit,Telugu,2229,S21-53,,Incomplete,58x2,,,38,3.2,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",,,,27/10/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmastavarājamu,APO000131940,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",Andhra Viswa Kala Parishad,,,1940,Mallana,,Telugu,Telugu,,,,,,,,,1905,1,,Incomplete,116,232,,35.5,6.2,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Stotra/Manqabat,,,16/11/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Devīstotra,API005601919,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",K.S. Lahiri,,,1919,,,Sanskrit,Telugu,,,,,,,,,1,1890,,Incomplete,50,100,,20,12,,Plant Products -> Paper / कागज,,Stotra/Manqabat,,,09/12/2014,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vasucaritramu,APO000491938,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",Dr.Krishna Memorial Library,,,1938,Rāmarājabhūṣaṇa,,Telugu,Telugu,,,,,,,,,1939,1,,Incomplete,69,138,,36.5,4,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,16/11/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śivasahasranāmamulu,APO000491940,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",Dr.Krishna Memorial Library,,,1940,,,Telugu,Telugu,,,,,,,,,1887,1,,Complete,27,54,,35,4,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Not Available,,,15/11/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sulchagni Deepika,APO000041929,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",apoml hyd,,,1929,,,,,,,,,,,Sanskrit,Telugu,2021,S22-148,,Incomplete,58x2,,,26,3.1,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Vaidika Vyākaraṇa,,,26/10/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sarvārthasārasanagrahaṁ,APO000491939,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",Dr.Krishna Memorial Library,,,1939,,,Telugu,Telugu,,,,,,,,,1876,1,,Incomplete,36,72,,49,5,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Not Available,,,05/12/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Smṛtigrantha,API005601920,"A.P. Govt. Oriental Manuscripts Library and Research Institute,Hyderabad",K.S. Lahiri,,,1920,,,Sanskrit,Telugu,,,,,,,,,1,1924,,Complete,50,100,,30,4,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,09/12/2014,,,No,,,,,No,No,,,,,,,manus_dt:,,
