title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Mārkandēyana carite,HUO0006758,"Kannada University, Hampi-1",Kannada Adhyāyanapīṭa (KRI.2) Dharwad,,,58,,,Kannada,Kannada,,,,,,,,,89,4,,Complete,15,30,,20,15,15,Plant Products -> Paper / कागज,,Itihāsa,,,13/04/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vedāntavarṇana,VRI000835789,Vrindavan Research Institute,Jiva Institute,,,5789,,,Bengali,Bengali,,,,,,,,,785,785/2,,Complete,20,40,,30,16,,Plant Products -> Paper / कागज,"Bad, Broken",Darśana / Manṯiq wa Falsafah,,,23/08/2013,,,No,,,,,No,No,,,,,,,manus_dt:,,
Pñcāṅcāga,VRI00040299,Vrindavan Research Institute,Paṅ. Bholeśvara Vaśiṣtha,,,299,,,Sanskrit,Devanagari,,,,,,,,,7,7/25,,Complete,21,42,,30,18.5,,Plant Products -> Paper / कागज,,Jyotiṣa,,,24/12/2008,,,No,,,,,No,No,,,,,,,manus_dt: 1651 v.s,,
Pañcāṅga,VRI000835786,Vrindavan Research Institute,Jiva Institute,,,5786,Gopāla dāsa,Sanatan baba,Bengali,Bengali,,,,,,,,,764,764/4,,Incomplete,29,58,,24,18.5,,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,17/08/2013,,,No,,,,,No,No,,,,,,,manus_dt: v.s.1867,,
Pañcāṅga,VRI000835787,Vrindavan Research Institute,Jiva Institute,,,5787,Gopāla dāsa,Sanatan baba,Bengali,Bengali,,,,,,,,,766,766/3,,Complete,25,50,,24,18.5,,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,18/08/2013,,,No,,,,,No,No,,,,,,,manus_dt: v.s.1886,,
Anusmṛti,VRI00053568,Vrindavan Research Institute,Pandit Ramesh Mishra,,,568,,,Sanskrit,Devanagari,,,,,,,,,6,6/4,,Complete,6,16,,16.6,12.5,,Plant Products -> Paper / कागज,,Stotra/Manqabat,,,20/04/2011,,,No,,,,,No,No,,,,,,,manus_dt:,,
Irāmatēvar Aruḷic Ceyta Cūttiram 380,MUO00001104,Mahabharata Samshodhan Pratisthan catalogue,G.O.M.L.R.C,,,104,,,Tamil,Tamil,,,Tamil,Tamil,,,Tamil,Tamil,T. R. 181,R. 197,,,51,101,,24.2,2.8,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",,,,12/01/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Gurudarpaṇa,VRI000835788,Vrindavan Research Institute,Jiva Institute,,,5788,,,Bengali,Bengali,,,,,,,,,774,774/6,,Complete,3,6,,21,11.5,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,20/08/2013,,,No,,,,,No,No,,,,,,,manus_dt:,,
-,MUI0000644,Mahabharata Samshodhan Pratisthan catalogue,IMHD,,,44,,,Tamil,Tamil,,,Tamil,Tamil,,,Tamil,Tamil,,,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Pañcāṅga,VRI000835790,Vrindavan Research Institute,Jiva Institute,,,5790,Gopāla dāsa,Sanatan baba,Bengali,Bengali,,,,,,,,,763,763/5,,Incomplete,26,52,,24,18.5,,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,17/08/2013,,,No,,,,,No,No,,,,,,,manus_dt: v.s.1858,,
