title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
मन्त्र सामान्य साधन विधि,DLO000101017,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Purana Pnchyati Mandir,,,1017,श्री चन्द्रशेखर शास्त्री,,Hindi,Devanagari,,,,,,,,,,,,Complete,33,,,18,16,,Plant Products -> Paper / कागज,,Jaina,,,27/07/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
शकुनावलीरमलपारसी,DLO0001967,Bhogilal Leherachand Institute of Indology(Jain Data Survey),आचार्य अमर सिंह जैन पुस्तकालय,,,67,अप्राप्त,,Hindi,Devanagari,,,,,,,,,,,,Incomplete,8,9,,26,11,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jyotiṣa,,,09/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
बटुकभैरवस्तोत्र,DLO0000117656,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17656,,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,4,,,26,12,,Plant Products -> Paper / कागज,,Stotra,,,22/10/2003,,,No,,,,,No,No,,,,,,,manus_dt:,,
अनंतचौबीसी,DLO000152061,Bhogilal Leherachand Institute of Indology(Jain Data Survey),J.Nehru A.La. Sushil A.,,,2061,जयमल,,Gujarati,Devanagari,,,,,,,,,,,,Complete,3,,,11,24,,Plant Products -> Paper / कागज,,Jaina,,,26/11/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1820,,
प्रसन्नचंद्रस्वाध्याय,DLO0000117657,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17657,रूपविजय,,Gujarati,Devanagari,,,Rajasthani,,,,,,,,,Complete,1,,,12,35,,Plant Products -> Paper / कागज,,Jaina,,,21/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
बाइस परीक्षा,DLO000501489,Bhogilal Leherachand Institute of Indology(Jain Data Survey),"महावीर दिगम्बर जैन छोटा मंदिर, पानीपत",,,1489,अप्राप्त,,Hindi,Devanagari,,,,,,,,,,,,Incomplete,2,,,30,13,,Plant Products -> Paper / कागज,,Jaina,,,22/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
सकलीकरण,DLO000101018,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Purana Pnchyati Mandir,,,1018,अप्राप्त,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,3,,,10,21,,Plant Products -> Paper / कागज,,Jaina,,,06/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
शीलस्वाध्याय,DLO0000117655,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17655,,,Gujarati,Devanagari,,,Rajasthani,,,,,,,,,Complete,1,,,28,14,,Plant Products -> Paper / कागज,,Jaina,,,11/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
निरयावली,DLO000152062,Bhogilal Leherachand Institute of Indology(Jain Data Survey),J.Nehru A.La. Sushil A.,,,2062,,,Prakrit,Devanagari,,,Gujarati,,,,,,,,,Incomplete,55,,,12,25,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jaina,,,03/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
प्रत्येकबुद्धचरित्रपद्य,DLO0000117658,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17658,,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,101,,,26,12,,Plant Products -> Paper / कागज,,Purāṇa,,,30/10/2003,,,No,,,,,No,No,,,,,,,manus_dt:,,
अनंतनाथपूजा,DLO000101019,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Purana Pnchyati Mandir,,,1019,अप्राप्त,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,13,,,12,25,,Plant Products -> Paper / कागज,,Jaina,,,12/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
विषापहारस्तोत्रभाषा,DLO000501490,Bhogilal Leherachand Institute of Indology(Jain Data Survey),"महावीर दिगम्बर जैन छोटा मंदिर, पानीपत",,,1490,अप्राप्त,,Hindi,Devanagari,,,,,,,,,,,,Incomplete,8,,,15,13,,Plant Products -> Paper / कागज,,Jaina,,,02/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
वैराग्य शतक,DLO00002110,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Sri Kalikunda  Parshvanatha Chaitalaya,,,110,अप्राप्त,,Hindi,Devanagari,,,,,,,,,,,,Complete,11,,,19,21,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,08/07/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
आवश्यकसूत्र-सस्तबक,DLO0001968,Bhogilal Leherachand Institute of Indology(Jain Data Survey),आचार्य अमर सिंह जैन पुस्तकालय,,,68,अप्राप्त,,Prakrit,Devanagari,स्तबक,,Rajasthani,,,,,,,,,Incomplete,12,24,,28,13,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jaina,,,09/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
प्रश्नोत्तरावली- स्वोपज्ञस्तबकसह,DLO0000117659,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17659,गंगाराम यति,,Sanskrit,Devanagari,स्वोपज्ञस्तबक,गंगाराम यति,,,,,,,,,,Complete,26,,,26,13,,Plant Products -> Paper / कागज,,Jaina,,,21/10/2003,,,No,,,,,No,No,,,,,,,manus_dt: 1826,,
नवतत्वप्रकरण- सस्तबक,DLO0000117660,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17660,,,Prakrit,Devanagari,स्तबक,,Rajasthani,,,,,,,,,Incomplete,9,,,26,12,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jaina,,,19/01/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
अष्टाह्लिकाव्याख्यान,DLO0000117661,Bhogilal Leherachand Institute of Indology(Jain Data Survey),Bhogilal Leherachand Institute of Indology,,,17661,क्षमाकल्याणोपाध्याय,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,10,,,29,13,,Plant Products -> Paper / कागज,,Jaina,,,01/01/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1803,,
