title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Tri sha ra tnta ga ma na na'm.,LTI00037127,"Library of Tibetan Works and Archives, Dharamshala",Tsering Chospel Negi (Private),,,127,Buddha.,,Tibetan,Tibetan,,,,,,,,,126,,,Complete,3,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Stotra,,,25/01/2006,,,No,,,,,No,No,,,,,,,manus_dt: 28/12/05,,
tshig bdun bla sgrub,LTI00051127,"Library of Tibetan Works and Archives, Dharamshala",Tashi Norbu Negi (Private),,,127,,,Tibetan,Tibetan,,,,,,,,,,,,Complete,1,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Stotra,,,31/05/2006,,,No,,,,,No,No,,,,,,,manus_dt: 4/4/06,,
tshe-bsgrub-bka-rgy-mai-gsol-adebs-rts-ba-padma-dkar-po,CII00014126,"Central Institute of Buddhist Studies, Leh",Marsaylang Individual Collection,tshe-bsgrub-bka-rgy-mai-gsol-adebs-rts-ba-padma-dkar-po,,126,buddha,,Tibetan,Baudhi,nil,nil,Tibetan,Baudhi,,,Tibetan,Baudhi,nya,,,Complete,2,4,nil,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Tantra/Ṯilism,,,21/06/2003,,,No,,,,,No,No,,,,,,,manus_dt: early century,,
Tṛṇavarttavaddha,NOO01984162,"OSM, Bhubaneswar",Basudev Gadi,,,162,Nārāyaṇadāsa,,Oriya,Oriya,,,,,,,,,35,7,,Complete,19,38,,30,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,03/07/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tuzuk-i Āṣafiyah,SLO00030128,test silvertouch,"A.P. State Archives, Jarnaka",,,128,Śāh ʻAlī Tajallī,,Persian,Nastaliq,,,,,,,,,,,,Complete,32,64,,15,20,,,,Itihāsa/Tārīḵẖ,,,20/11/2006,,,No,,,,,No,No,,,,,,,manus_dt: 18th Century AD,,
Tṛiyā Charitra,USO00016139,"Uttranchal Sanskrit Academy,Haridwar",Dr. Balvira Singh Panjabi University,,,139,,,Punjabi,Gurumukhi,,,,,,,,,,,,Incomplete,401,802,,18,10.6,4,Plant Products -> Paper / कागज,Bad,Not Available,,,08/08/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tsa kra bcu gsum pa'i gzungs,LTI00124132,"Library of Tibetan Works and Archives, Dharamshala",Kamla Devi w/o Ranjeet Singh,,,132,,,Tibetan,Tibetan,,,,,,,,,,,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Bauddha,,,28/01/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Triśirāsurakathā (Vilaṅkārāmāyaṇa),NOI22165136,"OSM, Bhubaneswar",Marttanda Mishra,,,136,Sāralādāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,18,36,,31,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Itihāsa/Tārīḵẖ,,,24/02/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Triyācaritropākhyāna,VBI00013127,"Vishveshvaranand Vishva Bandhu Institute of Sanskrit and Indological Studies, Hoshiarpur",Udasin Akhara Mahant Bala Nand,,,127,,,Punjabi,Gurumukhi,,,Not Available,Not Available,,,Not Available,Not Available,,110,,Incomplete,136,272,,18,10.5,,Plant Products -> Paper / कागज,,Kathā/Dāstān/Qiṣṣah,,,12/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Upanayanavidhi,SAI02129124,"Sanskrit Academy f Research For Advanced Society through Vedic &amp; Allied Tradition Of India(SARASVATI),Bhadrak",Visvanath Satapathy,,,124,,,Sanskrit,Oriya,,,,,,,,,126,1,,Complete,132,264,,36,3,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,10/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vaidāṇta Sutra,VRI00034129,Vrindavan Research Institute,Radha Vinod Das,,,129,,,Hindi,Devanagari,,,,,,,,,11,11/9,,Complete,12,24,,21.5,14,,Plant Products -> Paper / कागज,,Darśana / Manṯiq wa Falsafah,,,06/01/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vaiśākhamāhātmya,NOI23900126,"OSM, Bhubaneswar",Basant Kumar Pradhan,,,126,,,Oriya,Oriya,,,,,,,,,69,1,,Incomplete,41,82,,20,4,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Māhātmya,,,13/07/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Varṣapañjikā-1946-47,SAI01734126,"Sanskrit Academy f Research For Advanced Society through Vedic &amp; Allied Tradition Of India(SARASVATI),Bhadrak",Ardhendu Sekhar Maharana,,,126,,,Oriya,Oriya,,,,,,,,,126,1,,Complete,146,292,,55,3,,Plant Products -> Palm leaf / ताड़ पत्र,,Jyotiṣa,,,17/10/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1946-47,,
Vaśchhāharaṇa (Harivaṁśa ),NOI22309132,"OSM, Bhubaneswar",Kamalakanta Mishra,,,132,Nārāyaṇadāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,9,18,,31,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,04/05/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Arya dasha dik andhakar bi dha wans nam su tra dharni,LTI00132128,"Library of Tibetan Works and Archives, Dharamshala",Kisam Bhagti Negi,,,128,,,Tibetan,Tibetan,,,,,,,,,,,,Complete,10,,,,,,Plant Products -> Paper / कागज,,Bauddha,,,05/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vanaparva (Mahābhārata),NOI22325138,"OSM, Bhubaneswar",Harekrushna Das,,,138,Sāralādāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,41,82,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Itihāsa/Tārīḵẖ,,,27/03/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vāsudeva,NOO01934130,"OSM, Bhubaneswar",Nrusingha Mandira,,,130,,Nārāyaṇakaratripāṭhī,Sanskrit,Oriya,,,,,,,,,126,126.1,,Complete,3,6,,11,4,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Mantra,,,26/05/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1302 Sāla,,
Vidyādharapālā,OSO07037163,"Orissa State Museum, Bhubaneswar",Talent Research Centre,,,163,,,Oriya,Oriya,,,,,,,,,60,60.1,,Complete,34,68,,33,3,,Plant Products -> Palm leaf / ताड़ पत्र,,Kāvya/Fann al-Śi‘r,,,06/05/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vishnūkirta,OSI05030135,"Orissa State Museum, Bhubaneswar",Rajendra Prasad Patr,,,135,Bishnusharmā,,Oriya,Oriya,,Abhirāmpatro,,,,,,,1,,,Incomplete,58,29,,29,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",,,,26/01/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vibhinśarājācarita(Sūryapurāṇa),NOO01898138,"OSM, Bhubaneswar",Bhagavata Gadi,,,138,,,Oriya,Oriya,,,,,,,,,,,,Incomplete,10,20,,31cm,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,04/04/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Viṣṇupurāṇa - Jīvajagataprasaṅga,NOI23894131,"OSM, Bhubaneswar",Prakasha Acharya,,,131,Bhagavānadāsa,,Oriya,Oriya,,,,,,,Not Available,Not Available,,,,,11,22,,41,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,12/07/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800,,
Vicitrabhārata,NOI22175127,"OSM, Bhubaneswar",Harekrushna Mohanty,,,127,,,Oriya,Oriya,,,,,,,,,126,,,Complete,70,159,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Itihāsa/Tārīḵẖ,,,10/02/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vipākasūtra,NKO00008243,Jawaharlal Nehru Library,Jainendra Gurukul,,,243,,,Prakrit,Devanagari,,,,,,,,,,P-115,,Complete,91,180,,24.5,11.2,,Plant Products -> Paper / कागज,Good,Jaina,,,22/12/2006,,,No,,,,,No,No,,,,,,,manus_dt: Saṃvata 1958,,
