title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Nānārogaku,NOI2485654,"OSM, Bhubaneswar",Nandakishōrasāringi_89,,,54,,,Oriya,Oriya,,,,,,,,,,20,,Complete,1,1,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Āyurveda,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata (Navamaskandha),NOI2482920,"OSM, Bhubaneswar",Krusnachadaramduli_63,,,20,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,19,19,,Complete,41,82,,25cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,18/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Pūjāpadhati,NOI2485417,"OSM, Bhubaneswar",Rabindra Rath-86,,,17,,,Sanskrit,Oriya,,,,,,,,,16,16,,Complete,10,20,,20cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra / Darsiyāt-i Islāmiyah,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Krabyādiagnisaṁskāra  ?,NOI247799,"OSM, Bhubaneswar",Baouribandhm Satapathy,,,9,Unknown,,Sanskrit,Oriya,,,,,,,,,2,2.10,,Complete,4,8,,30,9,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,17/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1356 Sāla,,
Bhāgavata (Ekādaśaskandha),NOI2482545,"OSM, Bhubaneswar",Sarveswaranandi_57,,,45,,,Oriya,Oriya,,,,,,,,,15,,,Complete,118,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,16/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mahābhārata (Prathamādhyāya),NOI2483715,"OSM, Bhubaneswar",Artakābapati_71,,,15,Sāralādāsa,,Oriya,Oriya,,,,,,,,,13,13,,Complete,35,70,,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Itihāsa/Tārīḵẖ,,,19/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Bhāgavata (Ekādaśaskandha),NOI248222,"OSM, Bhubaneswar",Aruna kumar Barala_8,,,2,Jagannāthdāsa,Unknown,Oriya,Oriya,,No,,,,,,,18,18,,Complete,25,50,Nil,28cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,18/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Sāka,,
Mahābhārata (Tṛtīyabhāga),NOI2482819,"OSM, Bhubaneswar",Sarbeswararaut_61,,,19,Śaralādāsa,Unknown,Oriya,Oriya,No,No,,,,,,,15,15,,Complete,72,144,Nil,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Itihāsa/Tārīḵẖ,,,18/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Bhāgavata (Navamaskandha),NOI2484526,"OSM, Bhubaneswar",Madhabānandaśahoo_79,,,26,Jagannāthadāsa,,Oriya,Oriya,No,No,,,,,,,39,39,,Complete,45,90,Nil,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,22/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Pūjāpadhati,NOI2485216,"OSM, Bhubaneswar",Shiba mahārana_85,,,16,,,Oriya,Oriya,,,,,,,,,23,23,,Complete,15,30,,25cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra / Darsiyāt-i Islāmiyah,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Bhāgavata (Caturthaskandha),NOI2484527,"OSM, Bhubaneswar",Madhabānandaśahoo_79,,,27,Jagannāthadāsa,,Oriya,Oriya,No,No,,,,,,,34,34,,Complete,42,84,Nil,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,22/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Nabāgnisaṃskāravidhi,NOI247809,"OSM, Bhubaneswar",Surensranatha Pati,,,9,Unknown,,Sanskrit,Oriya,,,,,,,,,1,1.8,,Complete,18,36,,28,15,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,17/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ekādaśaskandha,NOI247945,"OSM, Bhubaneswar",Sri Biswonatha Biswal,,,5,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,9,1,,Complete,,192,384,40,9,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,19/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mahābhārata (Daśamabhāga),NOI2483021,"OSM, Bhubaneswar",Surādāsaa_64,,,21,Śaralādāsa,,Oriya,Oriya,,,,,,,,,19,19,,Complete,90,180,,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Itihāsa/Tārīḵẖ,,,18/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
Pūjāpadhati,NOI2485418,"OSM, Bhubaneswar",Rabindra Rath-86,,,18,,,Oriya,Oriya,,,,,,,,,19,19,,Complete,15,30,,20cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra / Darsiyāt-i Islāmiyah,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Pūjāpadhati,NOI2485419,"OSM, Bhubaneswar",Rabindra Rath-86,,,19,,,Oriya,Oriya,,,,,,,,,21,21,,Complete,15,30,,20cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra / Darsiyāt-i Islāmiyah,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mahābhārata (Caturthabhāga),NOI2483022,"OSM, Bhubaneswar",Surādāsaa_64,,,22,Śaralādāsa,,Oriya,Oriya,,,,,,,,,13,13,,Complete,32,64,,30cm,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Itihāsa/Tārīḵẖ,,,18/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1800Śaka,,
