title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Bhāgavata (Vol-12),NOO0199369,"OSM, Bhubaneswar",Basudev Gadi,,,69,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,69,,,Complete,100,200,,31,2.8,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,07/07/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhairava Stotra,VRI0002268,Vrindavan Research Institute,Mahesha Dutta Ji,,,68,Gaṅga Dutta śarmā,,Sanskrit,Devanagari,,,,,,,,,,69,,Complete,7,14,,18,13,,Plant Products -> Paper / कागज,,Stotra/Manqabat,,,01/07/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1826 v.s,,
Bhāgavata -Saptamaskandha,NOI2239569,"OSM, Bhubaneswar",Maheswar Ujha,,,69,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,71,142,,33,7,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,31/03/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgawat Purān,SLO0000569,test silvertouch,Mahatma Gandhi Library,,,69,,,Persian,Naskh,,,,,,,,,,15890,,Complete,208,416,,28,14,,,,Purāṇa,,,10/11/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1222/1812,,
Bhāgavata-Caturthaskandha,OSI0806170,"Orissa State Museum, Bhubaneswar",Baladev Mishra,,,70,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,115,230,,30,8,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,02/05/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhagolaprabandhumahārasa,NOI2376971,"OSM, Bhubaneswar",Gadadhar Maharana,,,71,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,13,13.6,,Complete,10,20,,32.2,3.2,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,29/06/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavatalaharī-Harivaṁśa,OSO0126469,"Orissa State Museum, Bhubaneswar",Chhedara Matha,,,69,Acyūtānandadāsa,,Oriya,Oriya,,,,,,,,,69,,,Complete,16,32,,19,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,13/04/2007,,,No,,,,,No,No,,,,,,,manus_dt: 19th Cent,,
Bhāgavata (Yāduvaṁśadhansakathā),OSI0392491,"Orissa State Museum, Bhubaneswar",Prahallad Sahoo,,,91,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,28,6,,Complete,14,28,,27,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,10/04/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata -Dvitīyaskandha,NOI2229784,"OSM, Bhubaneswar",Muralidhar Swain,,,84,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,15,30,,29,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,16/03/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhajana,OSO0400268,"Orissa State Museum, Bhubaneswar",Bipin Baral (Main),,,68,Anantadāsa,,Oriya,Oriya,,,,,,,,,,69,,Incomplete,22,44,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Saṅgīta/Mawsīqī,,,11/04/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
