title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Jātakapaddhatiḥ,OKO0048430,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI,Shaji (12) Jan 2008",,,30,,,Sanskrit,Malayalam,,,,,,,,,,T. 1702 C,,Complete,,67,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,31/01/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nartana Raṅganavikaranavidhiḥ,OKO0027439,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI & MSS LIBRARY, Shaji, September, 2006",Raṅgasankocanavidhiḥ,,39,,,Sanskrit,Malayalam,,,,,,,,,,17444 B,,Complete,3,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",śilpa,,,16/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mātṛkācakravivekavyākhyā,OKO0048734,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI,Shaji (14) Jan 2008",,,34,,,Sanskrit,Malayalam,with com,,,,,,,,,T 1928,,Complete,,41,,,,,Plant Products -> Paper / कागज,,Kāvya,,,31/01/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Subhāṣitatriśatī  with Tika,OKO0024340,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI & MSS LIBRARY, PR (20313-20412)",,,40,Bhaṛtṛhari,,Sanskrit,Grantha,,Bālarāmakavi,,,,,,,,1105,,Incomplete,60,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Subhāṣita,,,22/06/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nyāyakaustubhaḥ,OKO0045139,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI, ML, KKP, 2008 (1)",,,39,Mahādeva,,Sanskrit,Devanagari,,,,,,,,,,7284,,Incomplete,,,,,,,Plant Products -> Paper / कागज,,Nyāya,,,03/01/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Jyotiṣāmayanam,OKO0022124,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram",ORI & MSS Library PR (6001-6079),,,24,,,Sanskrit,Telugu,,,,,,,,,,5539 B,,Incomplete,3,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Jyotiṣa,,,24/04/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Brahmasutram,OKO0007139,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","The Govt.Sanskrit College,Trippunithura Shaji May-04(2)",,,39,,,Sanskrit,Malayalam,,,Not Available,Not Available,,,Not Available,Not Available,,297 B,,Incomplete,1,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Vedānta,,,18/04/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Naiṣadhīyacaritam,OKO0042444,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI, Shaji, November 2007",,,44,Srīharsa,,Sanskrit,Malayalam,,,,,,,,,,20815,,Incomplete,4,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Kāvya,,,30/11/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vedāntasāraḥ,OKO0066432,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","ORI,Shaji(VII-33036-33085(34)",,,32,Sadānandaḥ,,Sanskrit,Grantha,,,,,,,,,,17148 K,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Vedānta,,,07/06/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Aṣṭāṇga Hṛdayam  Vyākhyā,OKI0014530,"Oriental Research Institute and Manuscripts Library, Thiruvananthapuram","C.N.NARAYANAN MOOSAD, HS JUNE 05",,,30,Vāhata,,Sanskrit,Malayalam,,,Not Available,Not Available,,,Not Available,Not Available,153 A,,,Incomplete,183,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Vaidyaka,,,18/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
