title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Nāgarīdāsakīvaṇī,NSO00006816,"H.S.G. University, Sagar",Motilal Nehru Law College,,,816,Nāgarīdāsa,Rośanalālanandalāla,Hindi,Devanagari,,,,,,,,,89,89.5,,Complete,19,37,,34.5,21.3,,Plant Products -> Paper / कागज,,,,,15/09/2006,,,No,,,,,No,No,,,,,,,"manus_dt: Saṃ-1971, 1914AD",,
Śrījāmavatīharaṇa,NOO01895824,"OSM, Bhubaneswar",Berhampur University,,,824,Kṛṣṇadāsa,,Oriya,Oriya,,,,,,,,,504,,,Complete,107,213,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,29/03/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ṛgvedapadapāṭha,KTO020241262,Mahabharata Samshodhana Pratisthanam (M.S.P.),Academy of Sanskrit Research,,,1262,,,,,,,,,,,,,679,679,,Incomplete,144,,,42.5,3.5,,Plant Products -> Palm leaf / ताड़ पत्र,,Veda,,,19/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śrī Kabīra Jī Kā Anubhava,VBO00019915,"Vishveshvaranand Vishva Bandhu Institute of Sanskrit and Indological Studies, Hoshiarpur",M. M. Central State Library,,,915,,,Sanskrit,Gurumukhi,,,Not Available,Not Available,,,Not Available,Not Available,,2929,,Complete,23,41,,28.6,15,,Plant Products -> Paper / कागज,Bad,Darśana / Manṯiq wa Falsafah,,,07/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Panj Sūrah,SLO00008801,test silvertouch,Jama Masjid Library,,,801,,,Arabic,Nastaliq,,,,,,,,,,,,Complete,31,62,,11,5,,,,Qurān,,,24/11/2006,,,No,,,,,No,No,,,,,,,manus_dt: 12/18cent,,
Rāmāyaṇa,SAI0174885,"Sanskrit Academy f Research For Advanced Society through Vedic &amp; Allied Tradition Of India(SARASVATI),Bhadrak",Karunakar Kar,,,85,Brajaśyāmadāsa,Kṛpāsindhumiśra,Oriya,Oriya,,,,,,,,,84,1,,Complete,223,446,,13,1.5,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa/Tārīḵẖ,,,24/10/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1291 Sala,,
Śivarāmastotra,NKI00009798,Jawaharlal Nehru Library,Narendra Kumar Batra,,,798,Rāmānandasarasvatī,,Sanskrit,Devanagari,,,,,,,,,43,A-800,,Complete,3,5,,18.3,9.7,,Plant Products -> Paper / कागज,Good,Stotra/Manqabat,,,10/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
sku lnga rdo rje sgra dbyang rdo rje grags lngan tsiu dmar po bse khrab pa zhi gi bskang gso bcas,LTI00004799,"Library of Tibetan Works and Archives, Dharamshala",Tsechokling Monastery,,,799,,,Tibetan,Tibetan,,,Not Available,Not Available,,,Not Available,Not Available,,,,Complete,30,,,,,,Plant Products -> Paper / कागज,,Stotra,,,08/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmāyaṇa(Laṅkākāṇḍa),NOO01940807,"OSM, Bhubaneswar",Dept. Of History,,,807,Balarāmadāsa,,Oriya,Oriya,,,,,,,,,763,,,Complete,112,223,,44.5,12.5,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa/Tārīḵẖ,,,09/06/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śrīsatyanārāyaṇakathā,KSI0005152,"Kameshwar Singh Darbhanga Sanskrit University, Darbhanga",Kashinath Pandey,,,52,Pāṇḍayśrīmangalarāma,,Bengali,Devanagari,,,,,,,,,10,2,,Complete,,,,,,,Plant Products -> Paper / कागज,,Kathā/Dāstān/Qiṣṣah,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sūcīpatra,VBO00021858,"Vishveshvaranand Vishva Bandhu Institute of Sanskrit and Indological Studies, Hoshiarpur",Punjabi Uniersity,Sūcīpatra karābādīna urdū,,858,,,Punjabi,Gurumukhi,,,Not Available,Not Available,,,Not Available,Not Available,,115516,,Complete,95,95,,33.5,10.5,,Plant Products -> Paper / कागज,,Anukramaṇikā (Index),,,06/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sukhana totā mainā ke,VBO00017857,"Vishveshvaranand Vishva Bandhu Institute of Sanskrit and Indological Studies, Hoshiarpur",Punjab University Library,,,857,,,Punjabi,Gurumukhi,,,Not Available,Not Available,,,Not Available,Not Available,480,480-15,,Incomplete,4,8,,16.5,10.5,,Plant Products -> Paper / कागज,,Kāvya/Fann al-Śi‘r,,,21/03/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1766 sam.,,
अशौचनिर्णय,BOI00001861,"Bhandarkar Oriental Research Institute, Pune",Yadavshastri Takle Collection,,,861,,,,,,,,,,,,,118,1580,,Complete,,14,,,,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,19/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tantra,NOO01787807,"OSM, Bhubaneswar",Arttatrana Gadi Brahma (Benupada Matha),,,807,,,Sanskrit,Oriya,,,,,,,,,802,,,Complete,27,53,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Tantra/Ṯilism,,,03/02/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
अशौचनिर्णय,BOI00001861,"Bhandarkar Oriental Research Institute, Pune",Yadavshastri Takle Collection,,,861,,,,,,,,,,,,,118,1580,,Complete,,14,,,,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,19/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
आदिनाथ जन्माभिषेक,ROI00008820,"Rajasthan Oriental Research Institute, Jodhpur",प्रताप शोध प्रतिष्ठान,,,820,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,356/46,,Complete,7,,,12,10.5,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jaina,,,06/12/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1797वि.स.,,
