title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Lik viney pachik,ITO0000115586,,Institute of Tai Studies and Research,,,15586,,Nang Pea,Tai,,Binoy Pitaka,,,,,,,,,15538,,Complete,27,54,,34,31,,Plant Products -> Paper / कागज,,Bauddha,,,17/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1353 Saklet,,
Lik abhidhamma pathan,ITO0000115594,,Institute of Tai Studies and Research,,,15594,,Ngo Je Phew,Tai,,Abhidharma,,,,,,,,,15638,,Complete,33,66,,53,33,,Plant Products -> Paper / कागज,,Bauddha,,,07/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1343 Saklet,,
Lik naka siṅg,ITO0000115595,,Institute of Tai Studies and Research,,,15595,,Je Phew,Tai,,,,,,,,,,,15642,,Complete,19,38,,44,28,,Plant Products -> Paper / कागज,,Bauddha,,,08/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1372 Saklet,,
Lik suk sila khan,ITO0000115593,,Institute of Tai Studies and Research,,,15593,,Soi Myat Seng,Tai,,Sutta Pitaka,,,,,,,,,15635,,Complete,98,116,,37,26,,,,Bauddha,,,07/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1309 Saklet,,
Lik chao maṅg tre,ITO0000115588,,Institute of Tai Studies and Research,,,15588,,Sai Kya Let,Tai,,,,,,,,,,,15578,,Complete,32,64,,45,33,,Plant Products -> Paper / कागज,,Kathā/Dāstān/Qiṣṣah,,,06/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1332 Saklet,,
Lik chow ho ṅgun,ITO0000115592,,Institute of Tai Studies and Research,,,15592,,Noi Je,Tai,,,,,,,,,,,15624,,Complete,52,104,,33,22,,Plant Products -> Paper / कागज,,Bauddha,,,07/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1353 Saklet,,
Lik o satham,ITO0000115591,,Institute of Tai Studies and Research,,,15591,,Jam Pang,Tai,,,,,,,,,,,15608,,Complete,32,64,,32,21,,Plant Products -> Paper / कागज,,Bauddha,,,07/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1331 Saklet,,
Lik saṅg pha ko,ITO0000115590,,Institute of Tai Studies and Research,,,15590,,Ven Batha,Tai,,,,,,,,,,,15604,,Complete,8,16,,32.5,22,,Plant Products -> Paper / कागज,,Bauddha,,,07/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1313 Saklet,,
Lik maha kathi na,ITO0000115589,,Institute of Tai Studies and Research,,,15589,,Cham Mow,Tai,,,,,,,,,,,15594,,Complete,40,80,,43,28,,Plant Products -> Paper / कागज,,Bauddha,,,06/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1356 Saklet,,
Lik thamma pu je yam,ITO0000115587,,Institute of Tai Studies and Research,,,15587,,Pay Pung,Tai,,Dharma,,,,,,,,,15557,,Complete,25,50,,45,28,,Plant Products -> Paper / कागज,,Bauddha,,,06/04/2017,,,No,,,,,No,No,,,,,,,manus_dt: 1361 Saklet,,
