title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
शान्तिसार,BPO000033972,Lakshman Pustakalaya,लक्ष्मण पुस्तकालय,,,3972,दिनकर,गोविन्द,,,अनुपलब्ध,अनुपलब्ध,,,,,,,34,34.1,,Complete,224-4,448,नहीं,25,10.5,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,12/07/2007,,,No,,,,,No,No,,,,,,,manus_dt: शकसंवत् 1728,,
Vratasāvitrīudyāpanā,NSO000152175,"Dr. Harisingh Gour University,Sagar",Sanskrit Dept. Dr. H.S.G. University,,,2175,,,Sanskrit,Devanagari,,,,,,,,,1206,1206.100,,Complete,1,1,,24,11,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,23/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
सारिणी के प्रकीर्ण पत्र,ROO0000716620,"Rajasthan Oriental Research Institute, Jodhpur",राजस्थान प्राच्यविद्या प्रतिष्ठान,,,16620,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,509,,Incomplete,2,,,30,15,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,06/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
Lakṣmīpūjāvidhi,KSI00098108,"Kameshwar Singh Darbhanga Sanskrit University, Darbhanga",Chaturanan Jha,-,,108,-,-,Sanskrit,Devanagari,-,-,,,,,,,1,1,,Incomplete,4,9,,6,12,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,16/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ekādaśīkathā,NKO000013917,Jawaharlal Nehru Library,Jawar Lal Nehru Library,,,3917,,,Sanskrit,Devanagari,,,,,,,,,44,50138,,Complete,1,1,,34.5,19.5,,Plant Products -> Paper / कागज,Bad,Purāṇa,,,18/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Dpal mgon phyag bzhi pai sgrub thabs rjes gnags gi chog ga dang bcas pa dgons grub chen poi gru char,LTI000103965,"Library of Tibetan Works and Archives, Dharamshala",Library Of Tibetan Works and Archives,,,3965,Ngag dang sangs rgyas rdo rje,,Tibetan,Tibetan,,,Not Available,Not Available,,,Not Available,Not Available,,4005,,Complete,17,,,,,,Plant Products -> Paper / कागज,,Tantra,,,16/04/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ṣoḍaśamantrapaddhati,VRO0050018156,Vrindavan Research Institute,Vrindavan Research Institute,,,18156,,,Sanskrit,Devanagari,,,,,,,,,,1844,,Incomplete,28,56,5-15,25.5,11.6,,Plant Products -> Paper / कागज,"Bad, Brittle",Mantra,,,26/11/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1715,,
Tiruvāymozhipratipadam,KTO020243745,Mahabharata Samshodhana Pratisthanam (M.S.P.),Academy of Sanskrit Research,,,3745,,,,Tamil,,,,Grantha,,,,,1605,1605,,Incomplete,61,61,,40.7,3.2,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Not Available,,,05/04/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Haft Aqlīm,SLO000013645,test silvertouch,Salar Jung Museum Library,,,3645,Amīn Aḥmad Rāḏī,Mīr Ḥasan ʻAlī Buḵẖārī,Persian,Nastaliq,,,,,,,,,,619/3064,,Complete,642,1284,,10.9,6.3,,,Bad,Itihāsa/Tārīḵẖ,,,11/09/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1229/1814 A.D.,,
चण्डीपाठफलक्रमआदि,SOO000223472,"Scindia Oriental Research Institute, Ujjain",83. सिन्धिया प्राच्यविद्या शोध प्रतिष्ठान,,,3472,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,14865/21,,Complete,4,8,,27,12,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,14/07/2006,,,No,,,,,No,No,,,,,,,manus_dt: संवत् 1910,,
