title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Navamāśalagna,JKI0014797,Jammu And Kashmir Survey (Suresh Abroli),Anil Pawa,,,97,,,Sanskrit,Devanagari,,,,,,,,,,37,,Complete,1,2,,13.4,28.5,,Plant Products -> Paper / कागज,,Jyotiṣa,,,10/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Manḍaladevatā,BOO00002117,"Bhandarkar Oriental Research Institute, Pune",38) Bharata Itihasa Sanshodhana Mandala (Katti Vasudev Sangraha),,,117,,Bindumādhava,Sanskrit,Devanagari,,,,,,,,,80,410,,Incomplete,1,,,17,9.5,,Plant Products -> Paper / कागज,"Bad, Broken",,,,28/08/2011,,,No,,,,,No,No,,,,,,,manus_dt: Śake-1809,,
Vastradānamantra,OMO00001420,"Oriental Research Institute, Mysore","Oriental Reserch Institute,Mysore",,,420,,,Sanskrit,Devanagari,,,,,,,,,,C.3794/35,,Complete,39,,,21,10,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,25/05/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Gotragaṇa,BOO00002240,"Bhandarkar Oriental Research Institute, Pune",10) Bharata Itihasa Sanshodhana Mandala (Arti Pawar),,,240,,,Sanskrit,Devanagari,,,,,,,,,29,29.1651,,Complete,4,,,21,10,,Plant Products -> Paper / कागज,,Kośa,,,16/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rudrāṣṭādhyāyī,AUO00005175,"Arunachal University,Itanagar","HNB, Garhwal University-2",,,175,Kiśanadatasilamāṇā,,Sanskrit,Devanagari,,,,,,,,,1,1,,Complete,31,62,,,,,Plant Products -> Paper / कागज,"Bad, Broken",,,,09/04/2015,,,No,,,,,No,No,,,,,,,manus_dt:,,
Viṣṇustuti,BSO00010267,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,267,,,Sanskrit,Devanagari,,,,,,,,,,353.4,,Complete,3,,,14.5,10,,Plant Products -> Paper / कागज,,Stotra,,,20/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vāyavyasūkta,OMO00001421,"Oriental Research Institute, Mysore","Oriental Reserch Institute,Mysore",,,421,,,Sanskrit,Telugu,,,,,,,,,,P.10709/4,,Incomplete,1,,,28.5,4.5,,Plant Products -> Palm leaf / ताड़ पत्र,,Not Available,,,25/05/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nirukta (Pūrvaṣṭaka ),BOO00002253,"Bhandarkar Oriental Research Institute, Pune",14) Bharata Itihasa Sanshodhana Mandala (Khandekar),,,253,,,Sanskrit,Devanagari,,,,,,,,,65,65.649,,Complete,68,,,21,10,,Plant Products -> Paper / कागज,"Bad, Brittle",,,,11/12/2009,,,No,,,,,No,No,,,,,,,manus_dt:,,
Unidentified,MDO00001249,National Mission for Manuscripts,National Mission for Manuscripts,,,249,,,,,,,,,,,,,,343,Yes,Complete,27,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,23/01/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,Unidentified_343.pdf
Svapnādhyāyaphala,BSI0000194,Bharata Itihasa Sanshodhana Mandala,5) Bharata Itihasa Sanshodhana Mandala (Thite Collection),,,94,,,Sanskrit,Devanagari,,,,,,,,,36,36/2043,,Complete,4,,,20,10,,Plant Products -> Paper / कागज,,Jyotiṣa,,,27/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mangalastotra (Rudryāmale ),BSO00010268,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,268,,,Sanskrit,Devanagari,,,,,,,,,,353.18,,Complete,4,,,14.5,10,,Plant Products -> Paper / कागज,,Stotra,,,20/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Navārṇavamantra,BOO0000210,"Bhandarkar Oriental Research Institute, Pune",13) Bharata Itihasa Sanshodhana Mandala (Paranjape),,,10,,,Sanskrit,Devanagari,,,,,,,,,45,63,,Complete,4,,,14,10,,Plant Products -> Paper / कागज,,Mantra,,,29/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kālādarśaparva,BSI0000195,Bharata Itihasa Sanshodhana Mandala,5) Bharata Itihasa Sanshodhana Mandala (Thite Collection),,,95,,,Sanskrit,Devanagari,,,,,,,,,36,36/92,,Incomplete,19,,,21,10,,Plant Products -> Paper / कागज,,Jyotiṣa,,,27/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śikṣācatuṣṭaya,BOO00002617,"Bhandarkar Oriental Research Institute, Pune",69) Bharata Itihasa Sansodhana Mandala (Digitization),,,617,,,Sanskrit,Devanagari,,,,,,,,,54,54_261,,,,49,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,06/07/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Devīmāhātmya,BOO00002618,"Bhandarkar Oriental Research Institute, Pune",69) Bharata Itihasa Sansodhana Mandala (Digitization),,,618,,,Sanskrit,Devanagari,,,,,,,,,54,54_308,,,,219,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,06/07/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Niruktapūrvaṣtaka,BOO00002254,"Bhandarkar Oriental Research Institute, Pune",14) Bharata Itihasa Sanshodhana Mandala (Khandekar),,,254,,,Sanskrit,Devanagari,,,,,,,,,65,65-662,,Incomplete,17,,,20,10,,Plant Products -> Paper / कागज,"Bad, Brittle",Vedāṅga,,,14/12/2009,,,No,,,,,No,No,,,,,,,manus_dt:,,
Navyānumitiparamarśakāryakāraṇabhāvavicāra,GJO00001306,Raastriya Sanskrita Sansthana (Manita Visvavidhayalaya),Raastriya Sanskrita Sansthana (Manita Visvavidhayalaya),,,306,Mahādeva,Bhāradvājajagannātha,Sanskrit,Devanagari,,,,,,,,,,45919,,Complete,22,43,,27,12.5,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Darśana,,,13/12/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śrīnṛsiṃhapūjā,AUO00005324,"Arunachal University,Itanagar","HNB, Garhwal University",,,324,Natthīsiṃhauniyālarāvata,,Sanskrit,Devanagari,,,,,,,,,1,1,,Complete,20,40,,,,,Plant Products -> Paper / कागज,"Bad, Broken",Tantra/Ṯilism,,,07/04/2015,,,No,,,,,No,No,,,,,,,manus_dt:,,
Āgrayanbnasthālīpāka,BSO00010269,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,269,,,Sanskrit,Devanagari,,,,,,,,,,44,,Complete,2,,,23.5,11.5,,Plant Products -> Paper / कागज,,Stotra,,,15/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mahābhāratavanaparvādhyāya-5,BSI0000196,Bharata Itihasa Sanshodhana Mandala,5) Bharata Itihasa Sanshodhana Mandala (Thite Collection),,,96,Mukteśvara,,Marathi,Devanagari,,,,,,,,,36,36/2493 C,,Complete,8,,,21,15,,Plant Products -> Paper / कागज,,Itihāsa/Tārīḵẖ,,,12/03/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Trikāṇḍamaḍana/ Prathamakāṇḍa,BSO00010270,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,270,,Nārāyaṇakeśavabhaṭṭadivekara,Sanskrit,Devanagari,,,,,,,,,,45-1,,Complete,51,,,24.5,10.5,,Plant Products -> Paper / कागज,,Stotra,,,15/09/2010,,,No,,,,,No,No,,,,,,,manus_dt: Śaka 1706,,
Āsanavidhi,BOO0000233,"Bhandarkar Oriental Research Institute, Pune","59) Bharata Itihasa Sanshodhana Mandala  (Padhayey,Agasi)",,,33,,Raghunāthanārāyaṇa,Sanskrit,Devanagari,,,,,,,,,94,67,,Complete,14,,,21,10,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,23/03/2012,,,No,,,,,No,No,,,,,,,manus_dt: 1713,,
Gītāparāṛdha,AUO0000128,"Arunachal University,Itanagar",himani hourbal,,,28,Rāmacandrayakṣadevakṛta,,Marathi,Devanagari,,,,,,,,,,,,Complete,,75,,10,18,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Gītā,,,04/01/1980,,,No,,,,,No,No,,,,,,,manus_dt:,,
Gowaing padhik,TSO0000127,"SSES Research Centre, Chennai ,MPC",Tripura State Govt Museum,,,27,Moshi Mag,,Mag,,,Lafruchai mag,,,,,,,,,,Complete,42,82,,33.2,10.8,,Plant Products -> Paper / कागज,Bad,,,,16/12/2014,,,No,,,,,No,No,,,,,,,manus_dt: 1848 A.d,,
Kāṛtikamāhātmya(Padmapurāṇāṅtaṛgata),BOO0000242,"Bhandarkar Oriental Research Institute, Pune",17) Bharata Itihasa Sanshodhana Mandala (N.P.Thantey),,,42,,,Sanskrit,Devanagari,,,,,,,,,73,144,,Complete,39,,,28,13,,Plant Products -> Paper / कागज,"Bad, Stained",Purāṇa,,,30/09/2010,,,No,,,,,No,No,,,,,,,manus_dt: Śake-1769,,
Ashtakāvyaprakaraṇasaṭīka,BOO000013119,"Bhandarkar Oriental Research Institute, Pune",Bhandarkar Oriental Research Institute,,,3119,,,,,,,,,,,,,,545-1898-98,Yes,,,187,,,,,,"Bad, Worm eaten",,,,22/03/2016,,,No,,,,,No,No,,,,,,,manus_dt:,,Ashtakāvyaprakaraṇasaṭīka_545-1898-98.pdf
Ashtakāvyaprakaraṇasaṭīka,BOO000013119,"Bhandarkar Oriental Research Institute, Pune",Bhandarkar Oriental Research Institute,,,3119,,,,,,,,,,,,,,545-1898-98,Yes,,,187,,,,,,"Bad, Worm eaten",,,,22/03/2016,,,No,,,,,No,No,,,,,,,manus_dt:,,Ashtakāvyaprakaraṇasaṭīka_545-1898-98.pdf
Gopālakārikā,BOO000027,"Bhandarkar Oriental Research Institute, Pune",6) Bharata Itihasa Sanshodhana Mandala (Gorey),,,7,,Pāvasakarayajñaneśvaraśarmā,Sanskrit,Devanagari,,,,,,,,,35,35/326,,Complete,49,,,20,10,,Plant Products -> Paper / कागज,,Not Available,,,12/03/2010,,,No,,,,,No,No,,,,,,,manus_dt: Śake-1789,,
Ājyāvalokanavidhi,BOO0000210,"Bhandarkar Oriental Research Institute, Pune",45) Bharata Itihasa Sanshodhana Mandala (Pan.ra.dhamdherey),,,10,,,Sanskrit,Devanagari,,,,,,,,,71,71.72,,Complete,3,,,20.5,10,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,18/08/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ashtakāvyaprakaraṇasaṭīka,BOO000013119,"Bhandarkar Oriental Research Institute, Pune",Bhandarkar Oriental Research Institute,,,3119,,,,,,,,,,,,,,545-1898-98,Yes,,,187,,,,,,"Bad, Worm eaten",,,,22/03/2016,,,No,,,,,No,No,,,,,,,manus_dt:,,Ashtakāvyaprakaraṇasaṭīka_545-1898-98.pdf
Sthalapothī,AUO0000129,"Arunachal University,Itanagar",himani hourbal,,,29,,,Marathi,Devanagari,,,,,,,,,,,,,,150,,11,17,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Dharmaśāstra,,,04/01/1980,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ṛgavedāṣṭaka -3,BOO00002329,"Bhandarkar Oriental Research Institute, Pune",4) Bharata Itihasa Sanshodhana Mandala (Mandala Sangraha),,,329,,Rāmacandravāsudevamāṭe,Sanskrit,Devanagari,,,,,,,,,29,29.10(7).f,,Complete,74,,,21,10,,Plant Products -> Paper / कागज,,Veda,,,23/12/2009,,,No,,,,,No,No,,,,,,,manus_dt: Śake 1757,,
Śivastotra,AUO0000152,"Arunachal University,Itanagar",himani hourbal,,,52,Nārāyaṇa,,Sanskrit,Devanagari,,,,,,,,,,,,,,4,,8,14,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Stotra,,,26/09/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Anantaranga,BOO0000243,"Bhandarkar Oriental Research Institute, Pune",17) Bharata Itihasa Sanshodhana Mandala (N.P.Thantey),,,43,Kalyāṇamalla,,Sanskrit,Devanagari,,,,,,,,,73,200,,Incomplete,8,,After-8,22,10,,Plant Products -> Paper / कागज,"Bad, Stained",Not Available,,,04/10/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Saūrasūktamantra,BOO0000234,"Bhandarkar Oriental Research Institute, Pune","59) Bharata Itihasa Sanshodhana Mandala  (Padhayey,Agasi)",,,34,,,Sanskrit,Devanagari,,,,,,,,,94,118,,Complete,1,,,21,10.5,,Plant Products -> Paper / कागज,"Bad, Brittle",,,,26/03/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kanikradasūktama,OMO00001422,"Oriental Research Institute, Mysore","Oriental Reserch Institute,Mysore",,,422,,,Sanskrit,Nandinagari,,,,,,,,,,P.10058/15,,Complete,28-29,,,34,3,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,07/06/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vasantarājaśakunama,JKI0015419,Jammu And Kashmir Survey (Suresh Abroli),Archives Reference Library,,,19,Bhaṭṭavasanta,,Sanskrit,Devanagari,,,,,,,,,,44,,Complete,374,628,,24.1,15.9,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,09/09/2010,,,No,,,,,No,No,,,,,,,manus_dt: Śaṁvat-1940,,
Agnināma,BOO0000235,"Bhandarkar Oriental Research Institute, Pune","59) Bharata Itihasa Sanshodhana Mandala  (Padhayey,Agasi)",,,35,,,Sanskrit,Devanagari,,,,,,,,,94,95-Q,,Complete,1,,,29.5,11,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,26/03/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Āpatoyāṛyāmaniṣkevalayaśaṣtra,BSO0002126,Bharata Itihasa Sanshodhana Mandala,(21)Bharata Itihasa Sanshodhana Mandala (S.P.Gorey ),,,26,,,Sanskrit,Devanagari,,,,,,,,,35,347,,Incomplete,4,,,21,11,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Dharmaśāstra,,,25/10/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Jaiminimahābhāratāśvameghaparvaprākṛtaṭīkādhyāya-80,BSO000026,Bharata Itihasa Sanshodhana Mandala,2) Bharata Itihasa Sanshodhana Mandala (Potadara),,,6,Śrīdharasvāmī,,Marathi,Devanagari,,,,,,,,,2,2/58 ZO,,Complete,5,,,32,13,,Plant Products -> Paper / कागज,,Itihāsa/Tārīḵẖ,,,18/12/2009,,,No,,,,,No,No,,,,,,,manus_dt:,,
Dūrgāsaptaśadī,AUO00005176,"Arunachal University,Itanagar","HNB, Garhwal University-2",,,176,Janārdhanaprasādasilamānā,,Sanskrit,Devanagari,,,,,,,,,1,1,,Complete,30,60,,,,,Plant Products -> Paper / कागज,"Bad, Broken",,,,09/04/2015,,,No,,,,,No,No,,,,,,,manus_dt:,,
Prabodhasudhākara,BOO0000233,"Bhandarkar Oriental Research Institute, Pune",49) Bharata Itihasa Sanshodhana Mandala  (Ranade Natu Collection),,,33,Śankarācārya,,Sanskrit,Devanagari,,,,,,,,,53,53/172,,Complete,12,,,33,14.5,,Plant Products -> Paper / कागज,,Darśana,,,20/03/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vāstuśānti,BOO0000227,"Bhandarkar Oriental Research Institute, Pune",29) Bharata Itihasa Sanshodhana Mandala (Lele Collection),,,27,,,Sanskrit,Devanagari,,,,,,,,,56,56/63c,,Complete,2,,,27,8,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,12/07/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Adhyātmarāmāyaṇa,AUO0000153,"Arunachal University,Itanagar",himani hourbal,,,53,Pūrṇānanda,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,,200,,17,35,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Dharmaśāstra,,,04/01/1980,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sāṅyaprātharāginīhotrahoma,BSO00010271,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,271,,,Sanskrit,Devanagari,,,Sanskrit,,,,,,,54,,Complete,8,,,21.5,10,,Plant Products -> Paper / कागज,,,,,15/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vicāracandrodhayāya,JKI0015420,Jammu And Kashmir Survey (Suresh Abroli),Archives Reference Library,,,20,,,Sanskrit,Devanagari,,,,,,,,,,12,,Complete,108,216,,13.1,9,,Plant Products -> Paper / कागज,,Jyotiṣa,,,08/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Paramāṛthasārabhāṣya,BOO0000244,"Bhandarkar Oriental Research Institute, Pune",17) Bharata Itihasa Sanshodhana Mandala (N.P.Thantey),,,44,Nāgojībhaṭṭaupādhayāya,Vayaṅkateśa,Sanskrit,Devanagari,,,,,,,,,73,180,,Complete,24,,,25,10,,Plant Products -> Paper / कागज,"Bad, Brittle",Darśana,,,03/10/2010,,,No,,,,,No,No,,,,,,,manus_dt: Śake-1691,,
Advethnirṇaya,BOO00002619,"Bhandarkar Oriental Research Institute, Pune",69) Bharata Itihasa Sansodhana Mandala (Digitization),,,619,,,Sanskrit,Devanagari,,,,,,,,,46,46_82,,,,329,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,29/06/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmavijaya-Adhyāya-33,BOO0000222,"Bhandarkar Oriental Research Institute, Pune",31) Bharata Itihasa Sanshodhana Mandala (Mirikar Collection),,,22,Śrīdhara,,Marathi,Devanagari,,,,,,,,,25,25/185ZG,,Complete,9,,,21,24,,Plant Products -> Paper / कागज,,Purāṇa,,,23/03/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
