title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Praśnalagnaphalam,IGI0000496336,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96336,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101632,,Complete,2,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,18/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mātṛkāśakunam,IGI0000496339,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96339,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101717,,Complete,4,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Viveka-Cintāmaṇi,IGO001471309,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1309,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,402 (a),,Incomplete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Svapnacaritra,IGI0000496337,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96337,,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,101643,,Complete,3,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,18/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vīramāran Katai,IGO001471308,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1308,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,1038,,Complete,55,108,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Cillarai-P-Pattu,IGO001471306,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1306,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,323,,Incomplete,4,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kamalai-Vāl-Paramarkurututi,IGO001471310,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1310,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,869,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Kāvya,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vaikuṇta Ammānai,IGO001471307,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1307,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,924,,Complete,102,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Pañcapakṣī,IGI0000496338,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96338,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101646,,Complete,3,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,18/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śakunaśāstra,IGI0000496340,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96340,Vasantarāja,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101759,,Complete,83,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kampa-Rāmāyaṇa,IGO001471311,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1311,Kampar,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,117,,Incomplete,154,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Akatiyar Pari Poorna Cutiram,IGO001471312,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1312,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,1949,,Incomplete,161,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Aṣṭādhyāyi,IGI0000496341,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96341,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101777,,Complete,5,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Samāsacakra,IGI0000496342,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96342,,,Sanskrit,Devanagari,,,,,,,,,,102280,,Complete,4,,,,,,Plant Products -> Paper / कागज,,,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
UpetecaKhāṇḍam,IGO001471313,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1313,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,1975,,Complete,,567,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bahuvacane jhalyediti sūtrasya vicāra,IGI0000496343,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96343,,,Sanskrit,Devanagari,,,,,,,,,,102316,,Complete,2,,,,,,Plant Products -> Paper / कागज,,,,,20/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Prākṛtaprakāśā-Savṛttika,IGI0000496344,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96344,Vararuci,,Sanskrit,Devanagari,,,,,,,,,,102439,,Complete,20,,,,,,Plant Products -> Paper / कागज,,,,,25/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kārakavicāra,IGI0000496346,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96346,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101780,,Complete,25,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Siddhāntalaghumañjūṣāṭīkā,IGI0000496348,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96348,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101790,,Complete,70,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Pavanavijayasvarodaya,IGI0000496345,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96345,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101738,,Complete,5,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tiru-Murukārru-U-P-Patai,IGO001471314,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1314,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,704,,Incomplete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Periya Purāṇam,IGO001471316,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1316,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,1853,,Incomplete,,805,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Not Available,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Aṣṭādhyāyī,IGI0000496347,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96347,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101789,,Complete,41,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Carapa-Purāṇam,IGO001471315,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1315,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,947,,Complete,,75,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Purāṇa,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tiruvilaiyatar-P-Patalam-Purāṇam,IGO001471317,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1317,,,Tamil,Tamil,,,Not Available,Not Available,,,Not Available,Not Available,,1855,,Complete,,467,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Purāṇa,,,02/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Prauḍhamanoramā,IGI0000496349,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96349,Bhaṭṭojidīkṣita,,Sanskrit,Devanagari,,,,,,,,,,102907,,Complete,1,1,,,,,Plant Products -> Paper / कागज,,,,,21/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mugdhabodhaṭīkā,IGI0000496354,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96354,,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,103583,,Complete,2,,,,,,Plant Products -> Paper / कागज,,,,,27/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Siddhāntakaumudīṭīkā,IGI0000496351,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96351,,,Sanskrit,Not Available,,,Not Available,Not Available,,,Not Available,Not Available,,103373,,Complete,11,,,,,,Plant Products -> Paper / कागज,,,,,25/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Aṣṭādhyāyī,IGI0000496352,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96352,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,103506,,Complete,74,,,,,,Plant Products -> Paper / कागज,,,,,26/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Paribhāṣāvṛtti,IGI0000496353,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96353,Padmanātha,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,103562,,Complete,3,,,,,,Plant Products -> Paper / कागज,,,,,26/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vyākaraṇasiddhāntamañjuṣā,IGI0000496350,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96350,Kṛṣṇāmiśra,,Sanskrit,Devanagari,,,,,,,,,,102655,,Complete,404,,,,,,Plant Products -> Paper / कागज,,,,,21/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mugdhabodhaṭīkā,IGI0000496355,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96355,,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,103614,,Complete,2,,,,,,Plant Products -> Paper / कागज,,,,,27/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sāmagāṇa,IGI0000496357,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96357,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,38151,,Complete,2,,,,,,Plant Products -> Paper / कागज,,Veda,,,29/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Madhyasiddhāntakaumudī,IGI0000496360,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96360,Varadarāja,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101785,,Complete,32,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sārasiddhāntakaumudī,IGI0000496361,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96361,Varadarāja,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,101786,,Complete,21,,,,,,Plant Products -> Paper / कागज,,Jyotiṣa,,,19/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kātantravṛtti,IGI0000496362,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96362,Daurgsiṁha,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,103852,,Complete,125,,,,,,Plant Products -> Paper / कागज,,,,,27/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kavijīvana,IGI0000496356,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96356,Keśavamiśra,,Sanskrit,Devanagari,,,,,,,,,,104649,,Complete,2,,,,,,Plant Products -> Paper / कागज,,Kāvya,,,01/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Āpastambasrotasūtra,IGI0000496359,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96359,Bhaktasvāmi,,Sanskrit,Devanagari,,,,,,,,,,38374,,Complete,342,,,,,,Plant Products -> Paper / कागज,,Veda,,,31/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Siddhāntacandrikā,IGI0000496364,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96364,Rāmacandrāśrama,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,103887,,Complete,130,,,,,,Plant Products -> Paper / कागज,,Not Available,,,28/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Darśapurṇādisūtra  sabhāṣya,IGI0000496358,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96358,,,Sanskrit,Devanagari,,,,,,,,,,422,,Complete,120,,,,,,Plant Products -> Paper / कागज,,Veda,,,30/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vaiyākaraṇabhūṣaṇasāraṭīkā,IGI0000496363,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96363,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,103874,,Complete,5,,,,,,Plant Products -> Paper / कागज,,,,,27/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vaiyākaraṇasiddhāntakaumudī,IGI0000496365,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96365,Bhaṭṭojidīkṣita,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,103896,,Complete,95,,,,,,Plant Products -> Paper / कागज,,,,,28/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Padacandrikā,IGI0000496366,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96366,Rāmkiśora,,Sanskrit,Bengali,,,Not Available,Not Available,,,Not Available,Not Available,,104006,,Complete,81,,,,,,Plant Products -> Paper / कागज,,,,,29/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Citramīmāṁsā,IGI0000496369,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96369,Appayadīkṣita,,Sanskrit,Devanagari,,,,,,,,,,104635,,Complete,11,,,,,,Plant Products -> Paper / कागज,,Kāvya,,,01/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Madhyasiddhāntakaumudīṭīkā,IGI0000496367,"Indira Gandhi National Centre for the Arts, Delhi","S.B.L, Varanasi",,,96367,Varadarāja,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,104034,,Complete,286,,,,,,Plant Products -> Paper / कागज,,,,,01/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Devasīpaḍikkamaṇo,ROI0007436600,"Rajasthan Oriental Research Institute, Jodhpur","राजस्थान प्राच्य विद्या प्रतिष्ठान, Bikaner",,,36600,,,,,,,,,,,,,,23100,,Incomplete,,6-10,,,,,,"Bad, Worm eaten",,,,16/07/2014,,,No,,,,,No,No,,,,,,,manus_dt:,,
