title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Kālanirṇaya,UII00011230,"Lakshman Pustakaalya, Ramghaat",Dr. Bhagwaan Das Kendriya Pustakalaya (Mahatma Gandhi Kasi Vidhya Peeth),,,230,Hemādri,,Sanskrit,Devanagari,,,,,,,,,,666,,Complete,237,,,24,8,,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,10/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bihārīsatasai,UIO000071940,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,1940,Bihārī,,Hindi,Devanagari,,,,,,,,,,1004,,Complete,58,,,20.3,10.9,,Plant Products -> Paper / कागज,,,,,13/08/2007,,,No,,,,,No,No,,,,,,,manus_dt: Saṁvatm 1994,,
Śiśupālavadha (Pañcamasargānta),UIO00010270,"Lakshman Pustakaalya, Ramghaat","Bharat Kala Bhavan, BHU",,,270,Māgha,,Sanskrit,Devanagari,Sarvaṅkṣā,Mallinātha,,,,,,,2579,2579,,Complete,170,,,24.7,11.6,,Plant Products -> Paper / कागज,,Kāvya,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāsapañcādhyāyī,UIO000071938,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,1938,Nandadāsa,,Hindi,Devanagari,,,,,,,,,,766,,Complete,17,,,24.6,10.5,,Plant Products -> Paper / कागज,,,,,01/01/2000,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śuddhinirṇaya,UXO000641397,Uttar Pradesh PostSurvey,"Allahabad Sangrhalaya,Azad Park (Company Garden)",,,1397,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,89,35,,Incomplete,7,,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,15/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Padasaṁgraha,UIO000071939,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,1939,"Tulasī, Kabīra",,Hindi,Devanagari,,,,,,,,,,1539,,Complete,73,,,17,9.4,,Plant Products -> Paper / कागज,,,,,13/08/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vṛndānātyakāvya,UIO00010269,"Lakshman Pustakaalya, Ramghaat","Bharat Kala Bhavan, BHU",,,269,Kālidāsa,,Sanskrit,Devanagari,,,,,,,,,86,,,Complete,4,,,23,9.5,,Plant Products -> Paper / कागज,,Kāvya,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: Samvat 1715,,
Kāvyaprakaśalīlā,UII00011231,"Lakshman Pustakaalya, Ramghaat",Dr. Bhagwaan Das Kendriya Pustakalaya (Mahatma Gandhi Kasi Vidhya Peeth),,,231,Bhavadeva,,Sanskrit,Devanagari,,,,,,,,,,688,,Incomplete,300,600,,22,7.5,,,,,,,11/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Caurapañcāśikā,UIO00010268,"Lakshman Pustakaalya, Ramghaat","Bharat Kala Bhavan, BHU",,,268,Vidhaṇa,,Sanskrit,Devanagari,,,,,,,,,4265,,,Complete,12,,,22.8,10,,Plant Products -> Paper / कागज,,Kāvya,,,21/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Līlāsaṅgraha,UIO000071941,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,1941,Nandadāsa,,Hindi,Devanagari,,,,,,,,,,345,,Complete,52,,,19,15,,Plant Products -> Paper / कागज,,,,,01/01/2000,,,No,,,,,No,No,,,,,,,manus_dt:,,
