title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Kāśīkhaṇḍa,UIO000133400,"Lakshman Pustakaalya, Ramghaat","Bhrigu Karyalaya, Ramapura, Varanasi",,,3400,,,Sanskrit,Bengali,,,,,,,,,152,,,Complete,2,4,,33.2,12,,Plant Products -> Paper / कागज,,Purāṇa,,,21/03/2007,,,No,,,,,No,No,,,,,,,manus_dt: Samvat 1812,,
Pāśakeralī,UIO00012403,"Lakshman Pustakaalya, Ramghaat","Sri Visvanath Pustakalaya, Varanasi",,,403,Gargamuni,,Sanskrit,Devanagari,,,,,,,,,50,50.1,,Complete,13,,,22,11,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,09/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: Saṁvat 1913,,
Brahma-Vaivarta(Brahmakhaṇḍa),UIO00010846,"Lakshman Pustakaalya, Ramghaat","Bharat Kala Bhavan, BHU",,,846,,,Sanskrit,Devanagari,,,,,,,,,,1711,,Complete,52,,,29.2,13,,Plant Products -> Paper / कागज,,Purāṇa,,,05/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: Śani1734,,
Mādhavīyakālanirṇaya,UIO000076576,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,6576,,,Sanskrit,Devanagari,,,,,,,,,,6473,,Complete,10,,,21.7,10.1,,Plant Products -> Paper / कागज,,Jyotiṣa,,,28/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rasamañjarītantra,UXO000642111,Uttar Pradesh PostSurvey,"Allahabad Sangrhalaya,Azad Park (Company Garden)",,,2111,,,Sanskrit,Devanagari,,,,,,,,,143,101,,Incomplete,48,,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Āyurveda,,,03/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kavitā-Fatkarasa,UIO000076577,"Lakshman Pustakaalya, Ramghaat","Nagari Pracarini Sabha, Kashi",,,6577,,,Hindi,Devanagari,,,,,,,,,,1588,,Complete,14,,,16,10.7,,Plant Products -> Paper / कागज,,Kāvya/Fann al-Śi‘r,,,27/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Athasaṁvatsaraphala,UIO00008443,"Lakshman Pustakaalya, Ramghaat","Bundelkhand Sangrahalaya Samiti, Orai",,,443,,,Sanskrit,Devanagari,,,,,,,,,,,,Incomplete,6,12,,24,10.9,,Plant Products -> Paper / कागज,,Jyotiṣa,,,09/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1875,,
Vedāntasāra,UII000111199,"Lakshman Pustakaalya, Ramghaat",Dr. Bhagwaan Das Kendriya Pustakalaya (Mahatma Gandhi Kasi Vidhya Peeth),,,1199,,,Sanskrit,Devanagari,,,,,,,,,,770,,Incomplete,5,10,,30,6,,Plant Products -> Paper / कागज,,Darśana / Manṯiq wa Falsafah,,,15/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śivarahasya,UIO00010847,"Lakshman Pustakaalya, Ramghaat","Bharat Kala Bhavan, BHU",,,847,,,Sanskrit,Devanagari,,,,,,,,,,3879,,Complete,27,,,35.5,18.5,,Plant Products -> Paper / कागज,Bad,Tantra/Ṯilism,,,04/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bāghabuddhivāda,UIO00012404,"Lakshman Pustakaalya, Ramghaat","Sri Visvanath Pustakalaya, Varanasi",,,404,,,Sanskrit,Devanagari,,,,,,,,,244,244.1,,Incomplete,06,,,24.5,9,,Plant Products -> Paper / कागज,Bad,Darśana / Manṯiq wa Falsafah,,,09/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
