title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Mahāvākyavivaraṇa,IGO000081,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,1,Vidyāraṇya,,Sanskrit,Grantha,,,,,,,,,2010,4712,,Incomplete,6,,,,,,Animal Products -> Leather / चर्म,,Vedānta,,,04/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
do,RRO000011,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,1,do,Rajab ‘Alī Chishtī,Persian,Nastaliq,,,,,,,,,Mazhab,University/5/240,,Complete,523,,,,,,Plant Products -> Paper / कागज,,Sufism,,,02/02/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Risālah Jihād,RRI000011,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",رساله جهاد,,1,Ḵẖurram ʻAlī,Sayyid Niṯẖār ʻAlī,Urdu,Nastaliq,,,,,,,,,Islamiyat,825,,Complete,24,,,23,14,,Plant Products -> Paper / कागज,,,,,05/04/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sharḥ Hidāyatun-Naḥw,RRI000021,"Rampur Raza Library, Rampur","Rampur,Murtaza Farhat,syed",شرح ہدایتہ النحو,,1,,,Arabic,Naskh,,,,,,,,,,27,,Complete,28,,,28,19.5,,,Bad,Islamic Studies,,,02/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
भैरवपटल,ROI000681,"Rajasthan Oriental Research Institute, Jodhpur",67 हरि द्विज पुस्तकालय,,,1,,,Sanskrit,Devanagari,,,,,,,,,,324,,Complete,8,,,,,,Plant Products -> Paper / कागज,,Mantra,,,23/08/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,,
Aḥādīth,RRO000051,"Rampur Raza Library, Rampur","Lucknow,Nadwatul Ulema",احادیث منتخبہ,,1,‘ Imrān Aḥmad Ṣiddīqī,M. ‘ Imrān,Arabic,Nastaliq,,,,,,,,,Hadith,239,,Complete,67,,,32.2,20.5,,Plant Products -> Paper / कागज,,Hādith,,,19/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Ampar-P-Purāṇa , Naimicāra-p-patalam",IGO001471,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,1,,,Tamil,Tamil,,,,,,,,,,153,,Incomplete,15,29,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,30/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Fadhā,il-i-Ahl-i-Bait",RRI000041,"Rampur Raza Library, Rampur","Bareilly,Khanqah-i-Irshadiya",فضائل اہل بیت,,1,Sayyid ‘Abdullāh b. Nūrī,,Persian,Naskh,,,,,,,,,Tazkarah,B-6,,Incomplete,3,,,,,,Plant Products -> Paper / कागज,Bad,Itihāsa,,,23/12/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1225 A.H.,,
Tiruvatavurar-p-purāṇa,IGO001472,"Indira Gandhi National Centre for the Arts, Delhi","Dr. U.V. Swaminatha Iyer Library, Besant Nagar",,,2,,,Tamil,Tamil,,,,,,,,,,,,Complete,182,361,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,15/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Risālah-i-Dar Ṭāli‘,RRO000012,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",رسالہ در طالع,,2,Nil,,Persian,Nastaliq,,,,,,,,,Mutafarriqat,Abdul Hai/135/2,,Complete,17,,,,,,Plant Products -> Paper / कागज,,Islamic Studies,,,16/02/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sharḥ Zīch,RRO000013,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",شرح زیچ,,3,Nil,,Persian,Nastaliq,,,,,,,,,Mutafarriqat,Abdul Hai/124/1,,Complete,20,,,,,,Plant Products -> Paper / कागज,,Islamic Studies,,,16/02/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tarjumah-i-Hindī Dōhe,RRO000071,"Rampur Raza Library, Rampur","Luchnow,U.P.State Archive",ترجمہ ہندی دوہے,,1,,,Urdu,Nastaliq,,,,,,,,,Manzoom,343,,Complete,18,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Diwan,,,04/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Dahram Nāmah,RRO000072,"Rampur Raza Library, Rampur","Luchnow,U.P.State Archive",دھرم نامہ,,2,,,Persian,Nastaliq,,,,,,,,,Afsana,12955,,Complete,44,,,,,,Plant Products -> Paper / कागज,,Dāstān,,,05/01/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1227 A.H.,,
Dāstān-i-Shumāliyah Bāḵhtar,RRO000031,"Rampur Raza Library, Rampur",Rampur Raza Library,داستان شما لیه باختر,,1,,,Persian,Nastaliq,,,,,,,,,"NAQD,INSHA,QASAS",3049,,Complete,145,,,,,,Plant Products -> Paper / कागज,,Dāstān,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
दर्शनाष्टक,ROI000711,"Rajasthan Oriental Research Institute, Jodhpur",70 श्री दिगम्बर जैन ठोलिया का मंदिर,,,1,,,Sanskrit,Devanagari,,,,,,,,,,201,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Stotra,,,16/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Lughat,RRO000121,"Rampur Raza Library, Rampur","Moradabad,Jamia qasmia",لغت,,1,,,Arabic,Naskh,,,,,,,,,Lughat,109 (91/6169),,Complete,,,,,,,Plant Products -> Paper / कागज,,Kośa,,,11/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bayānul-Muḥtamil,RRI000051,"Rampur Raza Library, Rampur","Agra,Khurshid Alim",,,1,As-Sibkī Taqīud-Dīn ‘Alī ash-Shāfa’ ī ?,,Arabic,Naskh,,,,,,,,,Mutafarriqat,Abdul Hai/1192/178,,Complete,6,,,7.6,6,,Plant Products -> Paper / कागज,,Islamic Studies,,,05/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Muṭāli’ ul-Anwār,RRO000111,"Rampur Raza Library, Rampur","Deoband ,Darul Uloom",مطالع الانوار,,1,‘Afīf Nūr Kashfī,,Persian,Naskh,,,,,,,,,Tarikh,617/47,,Complete,,,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,15/03/2005,,,No,,,,,No,No,,,,,,,manus_dt: 9 A.H.,,
Jebus-Sair,RRO000014,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,4,Ghiyāthud-Dīn b Hamamud-Dīn,,Persian,Nastaliq,,,,,,,,,Akhbar,University/4/45,,Complete,410,,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,29/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Munājāt,RRO000016,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",مناجات,,6,‘Abdullāh Anṣārī,,Persian,Nastaliq,,,,,,,,,Tasawwuf,University/138,,Complete,13,,,,,,Plant Products -> Paper / कागज,,Sufism,,,14/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kitābul-Fuṣūl,RRO000112,"Rampur Raza Library, Rampur","Deoband ,Darul Uloom",کتاب الفصول,,2,,,Arabic,Naskh,,,,,,,,,Fiqh,329/92,,Complete,241,,,22,18,,Plant Products -> Paper / कागज,,Fiqh,,,10/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ḥirz-i-Bistān,RRO000032,"Rampur Raza Library, Rampur",Rampur Raza Library,حرز بستان,,2,....,,Persian,Nastaliq,,,,,,,,,AURAD,323,,Complete,65,,,,,,Plant Products -> Paper / कागज,,Stotra,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tashrīḥ-i-Shi‘ r Ḥāfiz,RRO000017,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",تشریح شعر حافظ,,7,Nil,,Persian,Nastaliq,,,,,,,,,Tasawwuf,University/157,,Complete,7,,,,,,Plant Products -> Paper / कागज,,Sufism,,,15/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ḥasanātul-‘Ārifīn,RRO000033,"Rampur Raza Library, Rampur",Rampur Raza Library,حسنات العارفین,,3,Shahzādah Dārā Shikōh B. Shāhjahāṅ B. Jahāṅgīr (d.1069ah),,Persian,Nastaliq,,,,,,,,,SULUK,963.1,,Complete,10,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1267AH,,
Dih Majlis,RRO000015,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,5,Nil,,Persian,Nastaliq,,,,,,,,,Akhbar,University/4/176,,Complete,52,,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,30/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Iṣṭilāḥāt-i-Ṣūfiyah,RRO000019,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",اصطلاحات  صوفیہ,,9,Nil,,Persian,Nastaliq,,,,,,,,,Tasawwuf,University/71,,Complete,,,,,,,Plant Products -> Paper / कागज,,Sufism,,,13/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Izālatul-Ghinā,RRO000018,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",ازالہ الغنا,,8,M. Nūrullāh b M. Muqīmud-Dīn al-Ghafūrī,,Persian,Nastaliq,,,,,,,,,Tasawwuf,University/103,,Complete,,,,,,,Plant Products -> Paper / कागज,,Sufism,,,14/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Panj Ganj,RRO000035,"Rampur Raza Library, Rampur",Rampur Raza Library,پنج گنج,,5,Nizāmud-Dīn (d.819ah),,Persian,Nastaliq,,,,,,,,,"LUGHAT,NAHU,BALAGHAT",2576,,Complete,34,,,,,,Plant Products -> Paper / कागज,,Lughat,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Tafsīr Pārah ‘Amm,RRO000036,"Rampur Raza Library, Rampur",Rampur Raza Library,تفسیر پاره عم,,6,......,Qādhī Kabīr Chāṅdpūrī,Persian,Nastaliq,,,,,,,,,TAFSIR,128,,Complete,74,,,,,,Plant Products -> Paper / कागज,,Tafsīr,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Miatu ‘Āmil Manzūm,RRO000034,"Rampur Raza Library, Rampur",Rampur Raza Library,مائة عامل منظوم,,4,. ..,Yamīnud-Daulah,Persian,Nastaliq,,,,,,,,,"LUGHAT,NAHU,BALAGHAT",2572,,Complete,6,,,,,,Plant Products -> Paper / कागज,,Lughat,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1238AH,,
Nālah-i ʻAndlīb P-II,RRO0000110,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",نالہ عندلیب ج- دوم,,10,ʻAndlīb K. M. (Naṣir ?) Muḥammadī,M. Taqī,Persian,Nastaliq,,,,,,,,,Shairi,Munir/Box5/8,,Complete,158,,,,,,Plant Products -> Paper / कागज,,Dīwān,,,27/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Asrāruẓ-Ẓākirīn,RRO000037,"Rampur Raza Library, Rampur",Rampur Raza Library,اسرار الذاکرین,,7,Abban B. Ghulām M. Abū Muslimī,,Persian,Nastaliq,,,,,,,,,SULUK,907,,Complete,28,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Majmū’ ah-i-Fawā,id",RRO000038,"Rampur Raza Library, Rampur",Rampur Raza Library,مجموعه فوائد,,8,....,,Persian,Nastaliq,,,,,,,,,AURAD,376.1,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Stotra,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1219ah,,
देवपूजा,ROI000851,"Rajasthan Oriental Research Institute, Jodhpur",84 श्री पार्श्वनाथ दिगम्बर जैन मंदिर,,,1,,,Sanskrit,Devanagari,,,,,,,,,,27/8,,Complete,19,,,,,,Plant Products -> Paper / कागज,,Jaina,,,31/03/2005,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं,,
Tafsīr Sūrah Baqrah,RRO000039,"Rampur Raza Library, Rampur",Rampur Raza Library,تفسیر سوره بقرا,,9,Muḥammad Fadhlullāh Yaqīn,,Persian,Nastaliq,,,,,,,,,TAFSIR,129,,Complete,165,,,,,,Plant Products -> Paper / कागज,,Tafsīr,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Joś Hoś,RRO0000111,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",جوش و ہوش,,11,ʻAnbar Śāh,,Persian,Nastaliq,,,,,,,,,Insha,Sulaiman/12/337/A/B,,Complete,,,,,,,Plant Products -> Paper / कागज,,Inśā’,,,11/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sawāniḥ Sayyid ‘Abdullāh Ghaznawī,RRO0000310,"Rampur Raza Library, Rampur",Rampur Raza Library,سوانح سید عبدالله غزنوی,,10,....,,Persian,Nastaliq,,,,,,,,,TAZKIRAH,2318,,Complete,1,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Siyar-i-Chishtiyah,RRO0000311,"Rampur Raza Library, Rampur",Rampur Raza Library,سیر چشتیه,,11,,,Persian,Nastaliq,,,,,,,,,TAZKIRAH,2346.1,,Complete,54,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
"‘Ajā,ibul-Buldān",RRO0000312,"Rampur Raza Library, Rampur",Rampur Raza Library,عجا ئب البلدان,,12,Nizāmud-Dīn ‘Abdul-‘Alī B. M. b. Ḥusain (d.936ah),,Persian,Nastaliq,,,,,,,,,TAZKIRAH,2438,,Complete,31,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nasab Nāmah-i-Chishtiyah,RRO0000313,"Rampur Raza Library, Rampur",Rampur Raza Library,نسب نامه چشتیه,,13,....,,Persian,Nastaliq,,,,,,,,,TAZKIRAH,2358.1,,Complete,2,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Risālah-i-Ḥamdāniyah Amīriyah,RRO0000314,"Rampur Raza Library, Rampur",Rampur Raza Library,رساله حمدانیه امیریه,,14,Amīr Sayyid ‘Alī Hamadānī,,Persian,Nastaliq,,,,,,,,,SULUK,773,,Complete,3,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 951AH,,
Samratul-Falāsifah,RRO0000315,"Rampur Raza Library, Rampur",Rampur Raza Library,سمرة الفلا سفه,,15,‘Abdus-Sattār B. Qāsim,,Persian,Nastaliq,,,,,,,,,TARIKH,2217.1,,Complete,133,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mirātul-Muḥaqqiqīn,RRO0000317,"Rampur Raza Library, Rampur",Rampur Raza Library,مرآةالمحققین,,17,Shaiḵh Maḥmūd At-Tabrīzī (d.720ah),From Alif 18 To Alif 37,Persian,Nastaliq,,,,,,,,,SULUK,858,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mirātuṭ-Ṭāibīn,RRO0000316,"Rampur Raza Library, Rampur",Rampur Raza Library,مرآة الطائبین,,16,Al-Amīr Sayyid ‘Alī Al-Hamadānī,,Persian,Nastaliq,,,,,,,,,SULUK,773,,Complete,37,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 951,,
Lawāmi‘ al-Luālī fī al-Arba‘īn al-‘Uwālī,RRO000052,"Rampur Raza Library, Rampur","Lucknow,Nadwatul Ulema",لوامع اللآلی فی اللاربعین العوالی,,2,Ibrāhīm b. Ḥasan al-Kuranī,,Arabic,Naskh,,,,,,,,,Hadith,Shibli N.U.L./396,,Complete,30,,,20.7,17,,Plant Products -> Paper / कागज,,Darśana,,,11/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Jach Nāmah,RRO0000318,"Rampur Raza Library, Rampur",Rampur Raza Library,جچ نامه,,18,...,Ḥājī Muḥammad,Persian,Nastaliq,,,,,,,,,TARIKH,2131,,Complete,201,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1245AH/1829AD,,
Nairang Zamānah,RRO0000319,"Rampur Raza Library, Rampur",Rampur Raza Library,نیرنگ زمانه,,19,‘Abdur-Rasūl Lāhōrī,,Persian,Nastaliq,,,,,,,,,TARIKH,2117,,Complete,45,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Lam’ āt,RRO0000320,"Rampur Raza Library, Rampur",Rampur Raza Library,لمعات,,20,Faḵhrud-Dīn ‘ Irāqī,,Persian,Nastaliq,,,,,,,,,SULUK,830.1,,Complete,63,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1236AH,,
Ḵhulāṣatut-Tawārīḵh,RRO0000321,"Rampur Raza Library, Rampur",Rampur Raza Library,خلا صة التوریخ,,21,"Subhan Rā,i Bhandārī Batalwī",,Persian,Nastaliq,,,,,,,,,TARIKH,2038,,Complete,238,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Maḵẖlūq Nāmah,RRO0000322,"Rampur Raza Library, Rampur",Rampur Raza Library,مخلوق نامه,,22,.....,,Arabic,Naskh,,,,,,,,,Duwa,1314,,Complete,10,,,15,9,,Plant Products -> Paper / कागज,,Not Available,,,22/07/2005,,,No,,,,,No,No,,,,,,,manus_dt: 12th/18th Cent.,,
Risālah-i-Sharḥ Ghauthiyah,RRO0000323,"Rampur Raza Library, Rampur",Rampur Raza Library,رساله شرح غوثیه,,23,‘Abdur-Raḥmān Ḥasan B. ‘Alī Makkī Al-Ḥusainī Al-Jīlānī,,Persian,Nastaliq,,,,,,,,,SULUK,790.1,,Complete,37,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nishāṭ Ārā,RRO0000324,"Rampur Raza Library, Rampur",Rampur Raza Library,نشاط آرا,,24,,,Persian,Nastaliq,,,,,,,,,MANTIQ-W-FALSAFA MAUSIQI,1265,,Complete,13,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
Sirājus-Ṣālikīn,RRO0000325,"Rampur Raza Library, Rampur",Rampur Raza Library,سراج السالکین,,25,"H. S. Sirājud-Dīn B. h. s. Bahā,ud-Dīn Dihlawī",Author,Persian,Nastaliq,,,,,,,,,SULUK,779,,Complete,383,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1259AH,,
Risālah-i-Kaifiyat Mi‘ rāj,RRO0000326,"Rampur Raza Library, Rampur",Rampur Raza Library,رساله کیفت معراج,,26,...,,Persian,Nastaliq,,,,,,,,,TARIKH,1938,,Complete,18,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Sharḥ Shamā,ilin-Nabī",RRO0000327,"Rampur Raza Library, Rampur",Rampur Raza Library,شرح شمائل النبی,,27,Muḥammad ‘Aqīl B. Shaiḵh Muḥammad Khakī,,Persian,Nastaliq,,,,,,,,,TARIKH,1893,,Complete,170,,,,,,Plant Products -> Paper / कागज,,,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1193AH,,
Risālah-i-Wujūdiyah,RRO0000328,"Rampur Raza Library, Rampur",Rampur Raza Library,رساله وجود یه,,28,Sh. Farīdud-Dīn Mas’ ūd B. Sulaimān B. Shu’ eb Al-Farshī  ‘ Umrī (664ah),Ḥafiz Tahalka,Persian,Nastaliq,,,,,,,,,SULUK,826,,Complete,22,,,,,,Plant Products -> Paper / कागज,,Sufism,,,01/01/1900,,,No,,,,,No,No,,,,,,,manus_dt: 1195AH,,
गुटका पाठ,ROO000022,"Rajasthan Oriental Research Institute, Jodhpur",86 श्री दिगम्बर जैन मंदिर (बुधचन्दजी बज),,,2,,,Hindi,Devanagari,,,,,,,,,,319,,Complete,28,,,,,,Plant Products -> Paper / कागज,,Jaina,,,16/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
द्वारिकेश जी के नित्य कृत्य तथा उत्सव भावना,ROI000051,"Rajasthan Oriental Research Institute, Jodhpur",05 राजस्थान प्राच्य विद्या प्रतिष्ठान,,,1,,,Hindi,Devanagari,,,,,,,,,,39574,,Complete,94,,,,,,Plant Products -> Paper / कागज,,,,,07/06/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1909,,
हयग्रीवकवच,ROI000682,"Rajasthan Oriental Research Institute, Jodhpur",67 हरि द्विज पुस्तकालय,,,2,,,Sanskrit,Devanagari,,,,,,,,,,296,,Complete,2,,,,,,Plant Products -> Paper / कागज,,Stotra,,,21/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
विनती (गुटका),ROO000021,"Rajasthan Oriental Research Institute, Jodhpur",86 श्री दिगम्बर जैन मंदिर (बुधचन्दजी बज),,,1,,,Rajasthani,Devanagari,,,,,,,,,,309,,Complete,193,,,,,,Plant Products -> Paper / कागज,Bad,Pūjā,,,16/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
भक्तामरस्तोत्र,ROI000331,"Rajasthan Oriental Research Institute, Jodhpur",33 श्री दिगम्बर जैन मंदिर नेमिनाथ जी,,,1,,,Sanskrit,Devanagari,,,,,,,,,,180,,Complete,12,,,,,,Plant Products -> Paper / कागज,Bad,Stotra,,,17/07/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,,
पाठ संग्रह (गुटका),ROO000023,"Rajasthan Oriental Research Institute, Jodhpur",86 श्री दिगम्बर जैन मंदिर (बुधचन्दजी बज),,,3,,,Hindi,Devanagari,,,,,,,,,,315,,Incomplete,24,,,,,,Plant Products -> Paper / कागज,,Jaina stotra,,,16/08/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
अंनतदेव की कथा,ROI000082,"Rajasthan Oriental Research Institute, Jodhpur",प्रताप शोध प्रतिष्ठान,,,2,,,Rajasthani,Devanagari,,,,,,,,,,165/9,,Complete,8,,,,,,Plant Products -> Paper / कागज,,Kathā,,,21/06/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
कर्मविपाक,AAO000981,Dev Kumar Jain Oeirnetal Research Institute,श्री दिगम्बर जैन मंदिर,,,1,-,,Prakrit,Devanagari,,,,,,,,,,,,Incomplete,1,,,25,15,,Plant Products -> Paper / कागज,,Jaina,,,31/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
नासकेत पुराण,ROI000081,"Rajasthan Oriental Research Institute, Jodhpur",प्रताप शोध प्रतिष्ठान,,,1,,,Birjia,Devanagari,,,,,,,,,,154/2,,Complete,53,,,,,,Plant Products -> Paper / कागज,,Kathā,,,21/06/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1885वि.स.,,
श्रीविद्वद्भूषण,ROO000071,"Rajasthan Oriental Research Institute, Jodhpur",राजस्थान प्राच्यविद्या प्रतिष्ठान,,,1,,,Sanskrit,Devanagari,,,,,,,,,,12171,,Complete,22,,,,,,Plant Products -> Paper / कागज,,Darśana,,,24/09/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,,
नवोंकारादिमंत्र,ROI000332,"Rajasthan Oriental Research Institute, Jodhpur",33 श्री दिगम्बर जैन मंदिर नेमिनाथ जी,,,2,,,Sanskrit,Devanagari,,,,,,,,,,182,,Complete,19,,,,,,Plant Products -> Paper / कागज,,Mantra,,,17/07/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,,
आत्मसार,ROI000011,"Rajasthan Oriental Research Institute, Jodhpur",01 भारतीय विद्या मंदिर शोध प्रतिष्ठान,,,1,रामदास,,Rajasthani,Devanagari,,,,,,,,,,10(2),,Complete,1,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Kāvya,,,10/06/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1924वि.स.,,
गौतमकेवली,ROI000731,"Rajasthan Oriental Research Institute, Jodhpur",72 श्री दिगम्बर जैन मंदिर लूणकरण जी पाण्ड्या,,,1,,,Sanskrit,Devanagari,,,,,,,,,32,33/383,,Complete,1,,,,,,Plant Products -> Paper / कागज,"Bad, Stained",Jyotiṣa,,,23/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
