title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Kabīr Ke Pada,NNO00011463,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,463,,,Sanskrit,Devanagari,,,,,,,,,,5843,,Incomplete,10,,,30,15,,Plant Products -> Paper / कागज,"Bad, Broken",Kāvya,,,22/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Hanumannāṭaka,NNO00011469,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,469,,,Sanskrit,Devanagari,,,,,,,,,,5662,,Incomplete,50,,,25,7,,Plant Products -> Paper / कागज,"Bad, Broken",Kāvya/Fann al-Śi‘r,,,15/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Āsuri Kalpa Tantra,NNO00002421,Nava Nalanda Mahavihara,Shri Manulal Pustakalay,,,421,,,Sanskrit,Devanagari,,,,,,,,,M 1,584,,Complete,10,,,37,16,,Plant Products -> Paper / कागज,"Bad, Broken",Tantra,,,26/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Cāṇakyanītidarpaṇa - Saṭīka,NNO00011466,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,466,,,Sanskrit,Devanagari,,,,,,,,,,5776,,Incomplete,17,,,,,,Plant Products -> Paper / कागज,"Bad, Broken",Nītiśāstra,,,22/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ramalanavaratna,NNO00011467,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,467,Paramasukhopādhyāya,,Sanskrit,Devanagari,,,,,,,,,,5516,,Complete,26,,,30,15,,Plant Products -> Paper / कागज,"Bad, Broken",Jyotiṣa,,,21/05/2008,,,No,,,,,No,No,,,,,,,manus_dt: 1880 AD,,
Rogākarṣaṇa - Saṭīka,NNO00011470,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,470,Harivilāsa,,Sanskrit,Devanagari,,,,,,,,,,5732,,Complete,36,,,16,6,,Plant Products -> Paper / कागज,"Bad, Broken",,,,15/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Nāradapāñcarātra, Mahopaniṣad, Kālītantra",NNO00011464,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,464,,,Sanskrit,Devanagari,,,,,,,,,,5515,,Complete,47,,,30,11,,Plant Products -> Paper / कागज,"Bad, Broken",Āgama,,,21/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vēra Mada Mahātantra,NNO00002420,Nava Nalanda Mahavihara,Shri Manulal Pustakalay,,,420,,,Sanskrit,Devanagari,,,,,,,,,2-11,740,,Complete,70,,,26,16,,Plant Products -> Paper / कागज,"Bad, Broken",Tantra,,,26/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Vaiṣṇavabhajana, Siddhāntasārasaṅgraha",NNO00011465,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,465,Vīrabhaṭṭa,,Sanskrit,Devanagari,,,,,,,,,,5563,,Complete,8,,,23,10,,Plant Products -> Paper / कागज,"Bad, Broken",Saṅgīta/Mawsīqī,,,21/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
"Santānagopālastotra, Rāyakavaca Ke Kuch Patra  ?",NNO00011468,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,468,,,Sanskrit,Devanagari,,,,,,,,,,5762,,Incomplete,10,,,20,10,,Plant Products -> Paper / कागज,"Bad, Broken",Stotra/Manqabat,,,22/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śāligrāmastotra,NNO00011471,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,471,Śaṅkarācārya,,Sanskrit,Devanagari,,,,,,,,,,5849,,Incomplete,1,,,21,11,,Plant Products -> Paper / कागज,"Bad, Broken",Stotra/Manqabat,,,22/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ātmā Paramātmā Ke Saṁbandha Meiñ Santo Ke  Vicāra,NNO00011472,Nava Nalanda Mahavihara,Bihar Rastra Bhasha Parishad,,,472,,,Hindi,Devanagari,,,,,,,,,,5663,,Incomplete,7,,,16,6,,Plant Products -> Paper / कागज,"Bad, Broken",Darśana,,,15/05/2008,,,No,,,,,No,No,,,,,,,manus_dt:,,
