title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
ज्ञानशारदीय,SDI0215516,"Sri Dev Kumar Jain Oriental Research Institute,Arrah",मुनिन्द्र झा,,,16,,,,,,,,,,,,,,17,,Complete,,55,,27,13,,Plant Products -> Paper / कागज,,Kāvya/Fann al-Śi‘r,,,23/03/2007,,,No,,,,,No,No,,,,,,,manus_dt: सं0 1847,,
unknown,BOO000076712,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6712,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,S9-6-52,,Incomplete,,39,Folios 1-15 & end part,,,,Plant Products -> Paper / कागज,Bad,,,,04/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
राम लनव रत्नम्  ?,SDI0231916,"Sri Dev Kumar Jain Oriental Research Institute,Arrah",बाबू साहेब झा,,,16,रममसुख,,संस्‍कृत,देवनागरी,,,,,,,,,1,1,,Incomplete,6,12,,10,13,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jyotiṣa,,,30/05/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1909,,
unknown,BOO000076712,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6712,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,S9-6-52,,Incomplete,,39,Folios 1-15 & end part,,,,Plant Products -> Paper / कागज,Bad,,,,04/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
unknown,BOO000076713,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6713,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,,,Incomplete,,4,many,,,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,06/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Untitled.,BOO000076711,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6711,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,S20-2-96,,Incomplete,,69,end part,,,,Plant Products -> Paper / कागज,,,,,02/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Untitled.,BOO000076711,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6711,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,S20-2-96,,Incomplete,,69,end part,,,,Plant Products -> Paper / कागज,,,,,02/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
unknown,BOO000076713,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,6713,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,,,Incomplete,,4,many,,,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,06/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
शिवप्रतिष्ठापद्धति,SDI031346,"Sri Dev Kumar Jain Oriental Research Institute,Arrah","अंजनी पाण्डेय, करनामेपुर",,,6,,कल्याण शर्मा,संस्‍कृत,देवनागरी,,,,,,,,,2,,,Complete,,14,,24,12,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,07/12/2007,,,No,,,,,No,No,,,,,,,manus_dt: सं0 1815,,
ऋग्वेदश्राद्धविधि,BOO000033558,"Bhandarkar Oriental Research Institute, Pune",Sarvajanik Vacanalay,Not available,,3558,Not available,Not available,Sanskrit,Devanagari,Not available,Not available,Not Available,,,,Not Available,,-,4637,,Complete,5,10,,32.5,20.5,-,Plant Products -> Paper / कागज,Bad,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,03/08/2004,,,No,,,,,No,No,,,,,,,manus_dt: Not available,,
